broad_sample	broad_id	pert_iname	InChIKey14	moa	target	broad_date	clinical_phase	alternative_moa	alternative_target
BRD-K04956647-003-02-5	BRD-K04956647	nebivolol	KOHIRBRYDXPAMZ	adrenergic receptor antagonist	ADRB1	broad_id_20170327	Launched		
BRD-K04993719-001-01-7	BRD-K04993719	LY2334737	MEOYFIHNRBNEPI	antitumor agent|ribonucleotide reductase inhibitor		broad_id_20170327	Phase 1		
BRD-K05104363-001-10-0	BRD-K05104363	PD-184352	GFMMXOIFOQCCGU	MEK inhibitor	MAP2K1|MAP3K1|MAP3K2	broad_id_20170327	Phase 2		
BRD-K05236810-001-19-0	BRD-K05236810	luteolin	IQPNAANSBPBGFQ	glucosidase inhibitor	TOP1	broad_id_20170327	Phase 2		
BRD-K05395900-322-05-4	BRD-K05395900	nicotine	SNICXCGAKADSCV	acetylcholine receptor agonist	CHAT|CHRNA10|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB3|CHRNB4|CYP19A1|TBXAS1|TRPA1	broad_id_20170327	Launched		
BRD-K05446112-001-01-8	BRD-K05446112	ledipasvir	VRTWBAAJJOHBQU	HCV inhibitor		broad_id_20170327	Launched		
BRD-K05524748-003-04-4	BRD-K05524748	dronedarone	ZQTNQVWKHCQYLQ	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|KCNA5|KCNH2|KCNK2|SCN1A	broad_id_20170327	Launched		
BRD-K05658747-001-02-9	BRD-K05658747	raltegravir	CZFFBEXEKNGXKS	HIV integrase inhibitor		broad_id_20170327	Launched		
BRD-K05673000-236-12-1	BRD-K05673000	dicloxacillin	YFAGHNZHGGCZAX	bacterial cell wall synthesis inhibitor		broad_id_20170327	Launched		
BRD-K05674516-001-02-5	BRD-K05674516	PSI-7976	TTZHDVOVKQGIBA	HCV inhibitor		broad_id_20170327	Preclinical		
BRD-K05804044-001-06-0	BRD-K05804044	AZ-628	ZGBGPEDJXCYQPH	RAF inhibitor	BRAF|RAF1	broad_id_20170327	Preclinical		
BRD-K05977355-001-19-0	BRD-K05977355	fluconazole	RFHAOTPXVQNOHP	sterol demethylase inhibitor	CYP51A1	broad_id_20170327	Launched		
BRD-K06240250-001-01-6	BRD-K06240250	rilpivirine	YIBOMRUWOWDFLG	non-nucleoside reverse transcriptase inhibitor	NR1I2|SCN10A	broad_id_20170327	Launched		
BRD-K06294530-001-01-5	BRD-K06294530	UK-383367	ARJCBSRIPGJMAD	procollagen C-endopeptidase inhibitor	BMP1	broad_id_20170327	Phase 1		
BRD-K06335600-003-20-7	BRD-K06335600	tizanidine	XFYDIVBRZNQMJC	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C|NISCH	broad_id_20170327	Launched		
BRD-K06388322-312-02-6	BRD-K06388322	pramipexole	FASDKYOPVNHBLU	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C	broad_id_20170327	Launched		
BRD-K06557128-001-07-0	BRD-K06557128	voriconazole	BCEHBSKCWLPMDN	cytochrome P450 inhibitor	CYP2C19|CYP2C9|CYP3A4|CYP3A5|PTGS1	broad_id_20170327	Launched		
BRD-K06674495-334-03-2	BRD-K06674495	nafamostat	MQQNFDZXWVTQEH	serine protease inhibitor	ASIC1|ASIC2|ASIC3|C1R|PRSS1|TPSAB1|TRPM7	broad_id_20170327	Launched		
BRD-K06762493-001-08-1	BRD-K06762493	isbufylline	WHUWQSQEVISUMC	phosphodiesterase inhibitor		broad_id_20170327	Phase 2		
BRD-K06858286-001-01-3	BRD-K06858286	cabazitaxel	BMQGVNUXMIRLCK	microtubule inhibitor	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	broad_id_20170327	Launched		
BRD-K06878038-001-18-6	BRD-K06878038	deferiprone	TZXKOCQBRNJULO	chelating agent	UGT1A6	broad_id_20170327	Launched		
BRD-K06900071-001-01-2	BRD-K06900071	tebipenem	SNUDIPVBUUXCDG	bacterial cell wall synthesis inhibitor	CNR1	broad_id_20170327	Launched		
BRD-K06902185-003-01-7	BRD-K06902185	minoxidil	ZFMITUMMTDLWHR	KATP activator|Kir6 channel (KATP) activator|vasodilator	ABCC9|KCNJ1|KCNJ10|KCNJ11|KCNJ8|PTGS1	broad_id_20170327	Launched		
BRD-K07106112-003-03-8	BRD-K07106112	BMS-599626	LUJZZYWHBDHDQX	EGFR inhibitor|protein tyrosine kinase inhibitor	EGFR|ERBB2|ERBB4	broad_id_20170327	Phase 1		
BRD-K07160047-001-01-3	BRD-K07160047	fiacitabine	GIMSJJHKKXRFGV	DNA synthesis inhibitor		broad_id_20170327	Phase 2		
BRD-K07208025-001-29-7	BRD-K07208025	trimethoprim	IEDVJHCEMCRBQM	dihydrofolate reductase inhibitor	DHFR|TYMS	broad_id_20170327	Launched		
BRD-K07220430-001-18-4	BRD-K07220430	cinnarazine	DERZBLKQOCDDDZ	calcium channel blocker		broad_id_20170327	Launched		
BRD-K07237224-001-19-6	BRD-K07237224	moclobemide	YHXISWVBGDMDLQ	monoamine oxidase inhibitor	MAOA|MAOB	broad_id_20170327	Launched		
BRD-K07310275-001-02-5	BRD-K07310275	PF-04691502	XDLYKKIQACFMJG	mTOR inhibitor|PI3K inhibitor	MTOR|PIK3CA	broad_id_20170327	Phase 2		
BRD-K07572174-001-17-0	BRD-K07572174	curcumin	ZIUSSTSXXLLKKK	cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor	APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CHRM3|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|PTGS1|PTGS2|XDH	broad_id_20200324	Launched		
BRD-K07609981-001-01-7	BRD-K07609981	dexloxiglumide	QNQZBKQEIFTHFZ	CCK receptor antagonist	CCKAR	broad_id_20170327	Phase 3		
BRD-K07691486-001-15-5	BRD-K07691486	roscovitine	BTIHMVBBUGXLCJ	CDK inhibitor	CDK2|CDK9	broad_id_20170327	Phase 2		
BRD-K07753030-003-17-6	BRD-K07753030	acecainide	KEECCEWTUVWFCV	polarization inhibitor	SCN5A	broad_id_20170327	Phase 3		
BRD-K07798980-001-01-9	BRD-K07798980	PSI-6130	NYPIRLYMDJMKGW	RNA polymerase inhibitor		broad_id_20170327	Phase 1		
BRD-K07857022-002-01-1	BRD-K07857022	alvimopan	UPNUIXSCZBYVBB	opioid receptor antagonist	OPRD1|OPRK1|OPRM1	broad_id_20170327	Launched		
BRD-K07881437-001-03-8	BRD-K07881437	danusertib	XKFTZKGMDDZMJI	Aurora kinase inhibitor|growth factor receptor inhibitor	AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|SLK	broad_id_20170327	Phase 2		
BRD-K07954936-001-01-3	BRD-K07954936	2-iminobiotin	WWVANQJRLPIHNS	nitric oxide synthase inhibitor	NOS1|NOS2	broad_id_20170327	Phase 2		
BRD-K08037784-001-12-6	BRD-K08037784	arbutin	BJRNKVDFDLYUGJ	melanin inhibitor	TYR	broad_id_20170327	Phase 2/Phase 3		
BRD-K08109215-001-06-4	BRD-K08109215	I-BET-762	AAAQFGUYHFJNHI	bromodomain inhibitor	BRD2|BRD3|BRD4	broad_id_20170327	Phase 2		
BRD-K08206212-002-01-0	BRD-K08206212	entecavir	QDGZDCVAUDNJFG	DNA replication inhibitor|nucleoside reverse transcriptase inhibitor		broad_id_20170327	Launched		
BRD-K08248804-001-01-8	BRD-K08248804	LCL-161	UFPFGVNKHCLJJO	XIAP inhibitor	BIRC2|XIAP	broad_id_20170327	Phase 2		
BRD-K08252256-236-33-8	BRD-K08252256	diclofenac	DCOPUUMXTXDBNB	cyclooxygenase inhibitor	AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A	broad_id_20170327	Launched		
BRD-K08547377-394-03-5	BRD-K08547377	irinotecan	UWKQSNNFCGGAFS	topoisomerase inhibitor	TOP1|TOP1MT	broad_id_20170327	Launched		
BRD-K08586861-001-01-1	BRD-K08586861	ramatroban	LDXDSHIEDAPSSA	prostanoid receptor antagonist	PTGDR2|TBXA2R	broad_id_20170327	Launched		
BRD-K08703257-001-12-1	BRD-K08703257	3-amino-benzamide	GSCPDZHWVNUUFI	PARP inhibitor	PARP1	broad_id_20170327	Phase 2		
BRD-K08799216-001-05-3	BRD-K08799216	pelitinib	WVUNYSQLFKLYNI	EGFR inhibitor	EGFR	broad_id_20170327	Phase 2		
BRD-K08832567-001-11-5	BRD-K08832567	naringenin	FTVWIRXFELQLPI	aromatase inhibitor|TRPV antagonist	CYP19A1|CYP1B1|ESR2|GLO1|HSD17B1	broad_id_20170327	Phase 1		
BRD-K08859203-001-01-9	BRD-K08859203	DU-728	NNRFRJQMBSBXGO	structural glycoprotein antagonist	ITGA2B|ITGB3	broad_id_20170327	Phase 1		
BRD-K08924299-003-06-1	BRD-K08924299	palonosetron	CPZBLNMUGSZIPR	serotonin receptor antagonist	HTR3A	broad_id_20170327	Launched		
BRD-K08976401-001-18-5	BRD-K08976401	azelaic-acid	BDJRBEYXGGNYIS	tyrosinase inhibitor	AKR1D1|SRD5A2|TYR	broad_id_20170327	Launched		
BRD-K09078998-001-01-4	BRD-K09078998	deforolimus	BUROJSBIWGDYCN	mTOR inhibitor	MTOR	broad_id_20170327	Phase 3		
BRD-K09090949-001-01-9	BRD-K09090949	CP-945,598	UNAZAADNBYXMIV	cannabinoid receptor antagonist	CNR1	broad_id_20170327	Phase 3		
BRD-K09132007-001-07-5	BRD-K09132007	D-4476	DPDZHVCKYBCJHW	TGF beta receptor inhibitor	CSNK1A1|CSNK1D|TGFB1	broad_id_20170327	Preclinical		
BRD-K09255212-001-16-6	BRD-K09255212	clioquinol	QCDFBFJGMNKBDO	chelating agent	OPRK1	broad_id_20170327	Withdrawn		
BRD-K09372874-001-01-0	BRD-K09372874	merimepodib	JBPUGFODGPKTDW	inosine monophosphate dehydrogenase inhibitor	IMPDH1	broad_id_20170327	Phase 2		
BRD-K09397065-003-06-1	BRD-K09397065	SR-57227A	WPVVMKYQOMJPIN	serotonin receptor agonist	HTR3A	broad_id_20170327	Phase 2		
BRD-K09426783-300-01-0	BRD-K09426783	TAS-103	ROWSTIYZUWEOMM	topoisomerase inhibitor	TOP1	broad_id_20170327	Phase 1		
BRD-K09471561-001-18-2	BRD-K09471561	levofloxacin	GSDSWSVVBLHKDQ	bacterial DNA gyrase inhibitor	TOP2A	broad_id_20170327	Launched	bacterial DNA gyrase inhibitor	nan
BRD-K09549677-300-03-4	BRD-K09549677	mibefradil	HBNPJJILLOYFJU	T-type calcium channel blocker	ANO1|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CATSPER1|CATSPER2|CATSPER3|CATSPER4	broad_id_20170327	Withdrawn		
BRD-K09602097-001-13-6	BRD-K09602097	colforsin	OHCQJHSOBUTRHG	adenylyl cyclase activator	ADCY2|ADCY5	broad_id_20170327	Phase 2	adenylyl cyclase activator	ADCY2|ADCY5|GNAS
BRD-K09711437-001-04-3	BRD-K09711437	varespladib	BHLXTPHDSZUFHR	secretory phospholipase inhibitor	PLA2G2A	broad_id_20170327	Phase 3		
BRD-K09951645-001-06-8	BRD-K09951645	dabrafenib	BFSMGDJOXZAERB	RAF inhibitor	BRAF|LIMK1|NEK11|RAF1|SIK1	broad_id_20170327	Launched		
BRD-K10670311-001-15-5	BRD-K10670311	sulfasalazine	NCEXYHBECQHGNR	cyclooxygenase inhibitor	ACAT1|ALOX5|CHUK|IKBKB|PLA2G1B|PPARG|PTGS1|PTGS2|SLC46A1|SLC7A11|TBXAS1	broad_id_20170327	Launched		
BRD-K10843433-001-22-7	BRD-K10843433	phenylbutazone	VYMDGNCVAMGZFE	cyclooxygenase inhibitor|prostanoid receptor antagonist	PTGIS|PTGS1|PTGS2	broad_id_20170327	Withdrawn		
BRD-K10845183-304-01-6	BRD-K10845183	tiludronate	DKJJVAGXPKPDRL	bone resorption inhibitor|osteoclast inhibitor	ATP6V1A|MMP2|PTPN1	broad_id_20170327	Launched		
BRD-K10852020-001-04-5	BRD-K10852020	tolcapone	MIQPIUSUKVNLNT	catechol O methyltransferase inhibitor	COMT	broad_id_20170327	Withdrawn		
BRD-K10859802-001-01-0	BRD-K10859802	APD668	XTRUQJBVQBUKSQ	glucose dependent insulinotropic receptor agonist	GPR119	broad_id_20170327	Phase 1		
BRD-K10961822-001-05-1	BRD-K10961822	latanoprost	GGXICVAJURFBLW	prostanoid receptor agonist	PTGFR	broad_id_20170327	Launched		
BRD-K11071038-001-01-7	BRD-K11071038	ICI-162846	ALCSGJCIESECFD	histamine receptor antagonist	HRH2	broad_id_20170327	Phase 1		
BRD-K11073688-001-01-6	BRD-K11073688	CPI-1189	DJKNRCWSXSZACF	tumor necrosis factor release inhibitor	TNF	broad_id_20170327	Phase 2		
BRD-K11129031-001-27-5	BRD-K11129031	gemfibrozil	HEMJJKBWTPKOJG	lipoprotein lipase activator	LPL|PPARA|SLCO1B1|SLCO1B3|SLCO2B1	broad_id_20170327	Launched		
BRD-K11153516-001-05-5	BRD-K11153516	iniparib	MDOJTZQKHMAPBK	PARP inhibitor	PARP1	broad_id_20170327	Phase 3		
BRD-K11196887-001-21-2	BRD-K11196887	norfloxacin	OGJPXUAPXNRGGI	bacterial DNA gyrase inhibitor	TOP2A	broad_id_20170327	Launched		
BRD-K11267252-001-04-4	BRD-K11267252	alectinib	KDGFLJKFZUIJMX	ALK tyrosine kinase receptor inhibitor	ALK|MET	broad_id_20170327	Launched		
BRD-K11399644-003-11-3	BRD-K11399644	phenformin	ICFJFFQQTFMIBG	AMPK activator	KCNJ8|PRKAA1	broad_id_20170327	Withdrawn		
BRD-K11433652-001-17-0	BRD-K11433652	aspirin	BSYNRYMUTXBXSQ	cyclooxygenase inhibitor	AKR1C1|ASIC3|EDNRA|HSPA5|IKBKB|NFKB1|NFKB2|NFKBIA|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|PTGS1|PTGS2|RPS6KA3|TP53	broad_id_20170327	Launched		
BRD-K11717138-001-30-3	BRD-K11717138	benzbromarone	WHQCHUCQKNIQEC	chloride channel blocker	ABCC1	broad_id_20170327	Launched		
BRD-K11973162-003-01-8	BRD-K11973162	tipiracil	QQHMKNYGKVVGCZ	thymidine phosphorylase inhibitor		broad_id_20170327	Launched		
BRD-K12184916-001-15-4	BRD-K12184916	NVP-BEZ235	JOGKUKXHTYWRGZ	mTOR inhibitor|PI3K inhibitor	ATR|MTOR|PIK3CA|PIK3CD|PIK3CG	broad_id_20170327	Phase 3		
BRD-K12219985-001-26-1	BRD-K12219985	glipizide	ZJJXGWJIGJFDTL	sulfonylurea	ABCC8|KCNJ10|KCNJ11|PPARG	broad_id_20170327	Launched		
BRD-K12423485-001-01-7	BRD-K12423485	griseofulvin	DDUHZTYCFQRHIY	tubulin polymerization inhibitor	KRT12	broad_id_20170327	Launched		
BRD-K12539416-001-01-4	BRD-K12539416	sulbutiamine	CKHJPWQVLKHBIH	acetylcholine receptor antagonist		broad_id_20170327	Launched		
BRD-K12609457-001-03-1	BRD-K12609457	exalamide	CKSJXOVLXUMMFF	membrane permeability inhibitor		broad_id_20170327	Launched		
BRD-K12735121-001-01-4	BRD-K12735121	TG-100801	JMGXJHWTVBGOKG	SRC inhibitor|VEGFR inhibitor	CSK|FGFR1|FLT1|FLT4|KDR|SRC	broad_id_20170327	Phase 2		
BRD-K12737986-001-01-4	BRD-K12737986	veliparib	JNAHVYVRKWKWKQ	PARP inhibitor	PARP1|PARP2	broad_id_20170327	Phase 3		
BRD-K12787259-001-04-3	BRD-K12787259	CX-5461	XGPBJCHFROADCK	RNA polymerase inhibitor		broad_id_20170327	Phase 1		
BRD-K12867552-001-04-7	BRD-K12867552	PCI-24781	MAUCONCHVWBMHK	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC6	broad_id_20170327	Phase 3		
BRD-K12885236-001-02-7	BRD-K12885236	dapivirine	ILAYIAGXTHKHNT	non-nucleoside reverse transcriptase inhibitor	CYP3A4|CYP3A5	broad_id_20170327	Phase 3		
BRD-K12932420-001-02-3	BRD-K12932420	YM-976	MNHXYNNKDDXKNP	phosphodiesterase inhibitor	PDE4A	broad_id_20170327	Phase 1		
BRD-K12994359-001-18-4	BRD-K12994359	valdecoxib	LNPDTQAFDNKSHK	cyclooxygenase inhibitor	CA12|PTGS2	broad_id_20170327	Withdrawn		
BRD-K13050541-001-01-9	BRD-K13050541	acivicin	QAWIHIJWNYOLBE	gamma glutamyltransferase inhibitor	CTPS1	broad_id_20170327	Phase 2		
BRD-K13154216-001-01-3	BRD-K13154216	everolimus	HKVAMNSJSFKALM	mTOR inhibitor	MTOR	broad_id_20170327	Launched		
BRD-K13183738-317-10-2	BRD-K13183738	pentamidine	XDRYMKDFEDOLFX	anti-pneumocystis agent	TRDMT1	broad_id_20170327	Launched		
BRD-K13296708-001-05-8	BRD-K13296708	rimonabant	JZCPYUJPEARBJL	cannabinoid receptor antagonist	CNR1|GPR55	broad_id_20170327	Withdrawn		
BRD-K13356952-001-25-1	BRD-K13356952	methazolamide	FLOSMHQXBMRNHR	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA2|CA4|CA7	broad_id_20170327	Launched		
BRD-K13390322-001-06-3	BRD-K13390322	AT-7519	OVPNQJVDAFNBDN	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK9	broad_id_20170327	Phase 2		
BRD-K13646352-001-03-8	BRD-K13646352	midostaurin	BMGQWWVMWDBQGC	FLT3 inhibitor|KIT inhibitor|PKC inhibitor	FLT3|PRKCG	broad_id_20170327	Launched		
BRD-K13662825-001-07-5	BRD-K13662825	dinaciclib	PIMQWRZWLQKKBJ	CDK inhibitor	CDK1|CDK2|CDK5|CDK9	broad_id_20170327	Phase 3		
BRD-K13756951-001-01-4	BRD-K13756951	bitopertin	YUUGYIUSCYNSQR	glycine transporter inhibitor	SLC6A5|SLC6A9	broad_id_20170327	Phase 3		
BRD-K13819402-003-10-2	BRD-K13819402	desoxypeganine	WUFQLZTXIWKION	acetylcholinesterase inhibitor|monoamine oxidase inhibitor	ACHE	broad_id_20170327	Phase 1		
BRD-K13926615-003-03-3	BRD-K13926615	vardenafil	SECKRCOLJRRGGV	phosphodiesterase inhibitor	PDE5A|PDE6G|PDE6H	broad_id_20170327	Launched		
BRD-K14175878-001-01-6	BRD-K14175878	MK-0812	MTMDXAIUENDNDL	CC chemokine receptor antagonist	CCR2	broad_id_20170327	Phase 2		
BRD-K14529030-001-01-9	BRD-K14529030	meisoindigo	QNOCRUSVMMAKSC	STAT inhibitor	STAT3	broad_id_20170327	Phase 3		
BRD-K14619660-001-01-5	BRD-K14619660	altrenogest	VWAUPFMBXBWEQY	progestogen hormone	PGR	broad_id_20170327	Launched		
BRD-K14653796-001-01-1	BRD-K14653796	tasquinimod	ONDYALNGTUAJDX	angiogenesis inhibitor|S100A9 inhibitor	HDAC4	broad_id_20170327	Phase 3		
BRD-K14704277-001-22-6	BRD-K14704277	cinoxacin	VDUWPHTZYNWKRN	topoisomerase inhibitor		broad_id_20170327	Launched		
BRD-K14796088-003-26-8	BRD-K14796088	berberine	YBHILYKTIRIUTE	LDL receptor activator	LDLR	broad_id_20170327	Launched		
BRD-K14870255-001-02-3	BRD-K14870255	R-428	KXMZDGSRSGHMMK	AXL kinase inhibitor	AXL	broad_id_20170327	Phase 2		
BRD-K14993104-001-05-9	BRD-K14993104	bemegride	ORRZGUBHBVWWOP	chemoreceptor agonist	GABRA1	broad_id_20170327	Launched		
BRD-K15010214-364-02-7	BRD-K15010214	emedastine	KBUZBQVCBVDWKX	histamine receptor antagonist	HRH1	broad_id_20170327	Launched		
BRD-K15108141-001-06-6	BRD-K15108141	gemcitabine	SDUQYLNIPVEERB	ribonucleotide reductase inhibitor	CMPK1|RRM1|RRM2|TYMS	broad_id_20170327	Launched		
BRD-K15170068-001-03-2	BRD-K15170068	swainsonine	FXUAIOOAOAVCGD	alpha mannosidase inhibitor	MAN2A1	broad_id_20170327	Phase 2		
BRD-K15179879-001-03-2	BRD-K15179879	carfilzomib	BLMPQMFVWMYDKT	proteasome inhibitor	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9	broad_id_20170327	Launched		
BRD-K15318383-201-01-5	BRD-K15318383	ammonium-glycyrrhizinate	LPLVUJXQOOQHMX	thrombin inhibitor	HSD11B1|HSD11B2|SLCO1B1|SLCO1B3	broad_id_20170327	Launched		
BRD-K15409150-001-05-8	BRD-K15409150	penfluridol	MDLAAYDRRZXJIF	T-type calcium channel blocker	CACNA1G	broad_id_20170327	Launched		
BRD-K15426076-001-01-2	BRD-K15426076	iguratimod	ANMATWQYLIFGOK	cyclooxygenase inhibitor|NFkB pathway inhibitor	PTGS2	broad_id_20170327	Launched		
BRD-K15502390-001-20-9	BRD-K15502390	nevirapine	NQDJXKOVJZTUJA	non-nucleoside reverse transcriptase inhibitor	CYP1A2|CYP2A6|CYP2B6|CYP2C9|CYP2D6|CYP3A4|CYP3A5	broad_id_20170327	Launched		
BRD-K15507868-001-03-7	BRD-K15507868	tesaglitazar	CXGTZJYQWSUFET	insulin sensitizer|PPAR receptor agonist	PPARA|PPARG	broad_id_20170327	Phase 3		
BRD-K15567136-003-27-2	BRD-K15567136	papaverine	XQYZDYMELSJDRZ	phosphodiesterase inhibitor	PDE10A|PDE4B|PDE5A	broad_id_20170327	Launched		
BRD-K15766189-001-09-8	BRD-K15766189	cefdinir	RTXOFQZKPXMALH	bacterial cell wall synthesis inhibitor	MPO	broad_id_20170327	Launched		
BRD-K15916496-001-27-9	BRD-K15916496	clotrimazole	VNFPBHJOKIVQEB	cytochrome P450 inhibitor|imidazoline receptor ligand	CYP3A4|KCNN4|NR1I2|NR1I3|TRPM2|TRPM4|TRPM8	broad_id_20170327	Launched		
BRD-K15933101-003-06-1	BRD-K15933101	ropinirole	UHSKFQJFRQCDBE	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C	broad_id_20170327	Launched		
BRD-K15976406-001-03-3	BRD-K15976406	telbivudine	IQFYYKKMVGJFEH	DNA polymerase inhibitor		broad_id_20170327	Launched		
BRD-K16037980-001-01-1	BRD-K16037980	Z160	VCPMZDWBEWTGNW	N-type calcium channel blocker	CACNA2D1	broad_id_20170327	Phase 2		
BRD-K16077845-001-06-1	BRD-K16077845	fentiazac	JIEKMACRVQTPRC	cyclooxygenase inhibitor	PTGS1|PTGS2	broad_id_20170327	Launched		
BRD-K16133773-001-01-9	BRD-K16133773	abiraterone-acetate	UVIQSJCZCSLXRZ	androgen biosynthesis inhibitor	CYP17A1	broad_id_20170327	Launched		
BRD-K16195444-003-26-0	BRD-K16195444	oxymetazoline	WYWIFABBXFUGLM	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|HTR1B|HTR1D|HTR2C	broad_id_20170327	Launched		
BRD-K16295392-003-01-3	BRD-K16295392	atrasentan	MOTJMGVDPWRKOC	endothelin receptor antagonist	EDNRA	broad_id_20170327	Phase 3		
BRD-K16444452-001-09-1	BRD-K16444452	ibudilast	ZJVFLBOZORBYFE	leukotriene receptor antagonist|phosphodiesterase inhibitor	IL1B|IL6|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A	broad_id_20170327	Launched		
BRD-K16508793-001-05-9	BRD-K16508793		AAOVKJBEBIDNHE			broad_id_20170327			
BRD-K16542329-001-13-5	BRD-K16542329	zaprinast	REZGGXNDEMKIQB	phosphodiesterase inhibitor	GPR35|PDE1A|PDE4D|PDE5A|PDE9A	broad_id_20170327	Phase 2		
BRD-K16730910-001-07-3	BRD-K16730910	regorafenib	FNHKPVJBJVTLMP	FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	ABL1|BRAF|DDR2|EPHA2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|NTRK1|PDGFRA|PDGFRB|RAF1|RET|TEK	broad_id_20170327	Launched		
BRD-K16732600-001-01-7	BRD-K16732600	MK-0893	DNTVJEMGHBIUMW	glucagon receptor antagonist	GCGR	broad_id_20170327	Phase 2		
BRD-K16757695-050-02-5	BRD-K16757695	PRX-08066	IENZFHBNCRQMNP	serotonin receptor antagonist	HTR2B	broad_id_20170327	Phase 2		
BRD-K16761703-001-03-8	BRD-K16761703	sotrastaurin	OAVGBZOFDPFGPJ	PKC inhibitor	PRKCA|PRKCB|PRKCD|PRKCE|PRKCH|PRKCQ	broad_id_20170327	Phase 2		
BRD-K16762525-001-01-6	BRD-K16762525	clarithromycin	AGOYDEPGAOXOCK	bacterial 50S ribosomal subunit inhibitor	CYP3A4	broad_id_20170327	Launched		
BRD-K16803204-001-01-6	BRD-K16803204	filgotinib	RIJLVEAXPNLDTC	JAK inhibitor	JAK1|JAK2|JAK3|TYK2	broad_id_20170327	Phase 3		
BRD-K16898998-001-01-6	BRD-K16898998	bevirimat-dimeglumine	YJEJKUQEXFSVCJ	HIV capsid assembly inhibitor		broad_id_20170327	Phase 2		
BRD-K17026858-001-01-2	BRD-K17026858	pibenzimol	INAAIJLSXJJHOZ	DNA inhibitor		broad_id_20170327	Phase 2		
BRD-K17068645-003-04-2	BRD-K17068645	bendamustine	YTKUWDBFDASYHO	DNA inhibitor		broad_id_20170327	Launched		
BRD-K17075857-001-17-6	BRD-K17075857	chloroxine	WDFKMLRRRCGAKS	opioid receptor antagonist	OPRK1	broad_id_20170327	Launched		
BRD-K17203476-001-01-9	BRD-K17203476	LY2874455	GKJCVYLDJWTWQU	FGFR antagonist	FGFR1|FGFR2|FGFR3|FGFR4|KDR	broad_id_20170327	Phase 1		
BRD-K17498618-344-02-6	BRD-K17498618	atracurium	YXSLJKQTIDHPOT	acetylcholine receptor antagonist		broad_id_20170327	Launched	acetylcholine receptor antagonist	CHRNA2
BRD-K17500877-001-02-1	BRD-K17500877	bropirimine	CIUUIPMOFZIWIZ	interferon inducer		broad_id_20170327	Phase 3		
BRD-K17513304-001-01-9	BRD-K17513304	firategrast	YLFZHHDVRSYTKT	integrin antagonist	ITGA4	broad_id_20170327	Phase 2		
BRD-K17555800-003-01-5	BRD-K17555800	talmapimod	ZMELOYOKMZBMRB	p38 MAPK inhibitor	IL1B|MAPK11|MAPK14|MT-CO2|TNF	broad_id_20170327	Phase 2		
BRD-K17561142-003-32-5	BRD-K17561142	amiodarone	IYIKLHRQXLHMJQ	potassium channel blocker	ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2	broad_id_20170327	Launched		
BRD-K17705806-003-04-4	BRD-K17705806	JTC-801	VTGBZWHPJFMTKS	opioid receptor antagonist	OPRL1	broad_id_20170327	Phase 2		
