pert_id	pert_iname	moa	target
BRD-K89329876	BRD9876	kinesin inhibitor	KIF11
BRD-K77841042	brefeldin-A	protein synthesis inhibitor	ARF1|CYTH2
BRD-K06328344	bremelanotide	melanocortin receptor agonist	MC1R|MC2R|MC3R|MC4R|MC5R
BRD-K96123349	brequinar	dihydroorotate dehydrogenase inhibitor	DHODH
BRD-K96936751	bretazenil	GABA benzodiazepine site receptor partial agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6
BRD-K49669424	bretylium	norepinephrine inhibitor	ATP1A1
BRD-K00911143	brexpiprazole	dopamine receptor partial agonist	DRD2
BRD-K05531427	briciclib	cyclin D inhibitor	CCND1
BRD-K56981171	brigatinib	ALK tyrosine kinase receptor inhibitor|EGFR inhibitor	ALK|EGFR
BRD-K60348325	brilliant-green		
BRD-K68264559	brimonidine	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C
BRD-K00004672	brincidofovir	antiviral	
BRD-K74913225	brinzolamide	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA2|CA4|CA5A|CA7
BRD-K28428262	brivanib	FGFR inhibitor|VEGFR inhibitor	CYP3A4|FGFR1|FLT1|KCNH2|KDR
BRD-K57187269	brivanib-alaninate	FGFR inhibitor|VEGFR inhibitor	FGFR3
BRD-A63675168	brivudine	DNA directed DNA polymerase inhibitor	
BRD-K01826777	BRL-15572	serotonin receptor antagonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6
BRD-A57806482	BRL-26314	cholesterol inhibitor	LPL
BRD-K07507905	BRL-37344	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3
BRD-K01825677	BRL-44408	adrenergic receptor antagonist	ADRA2A|ADRA2B|ADRA2C
BRD-K84266862	BRL-50481	phosphodiesterase inhibitor	PDE7A|PDE7B
BRD-A37347161	BRL-52537	opioid receptor agonist	OPRK1
BRD-K17868609	BRL-54443	serotonin receptor agonist	HTR1E|HTR1F
BRD-K76021681	brolitene	muscle relaxant	RYR1
BRD-K86358349	bromantan	dopamine reuptake inhibitor|serotonin reuptake inhibitor	
BRD-K17874929	bromebric-acid	DNA synthesis inhibitor|purine antagonist	
BRD-K47679368	bromfenac	cyclooxygenase inhibitor	PTGS1|PTGS2
BRD-K47631482	bromhexine	mucolytic agent	
BRD-K50490982	bromindione	anticoagulant	
BRD-K00003522	bromisoval	anti-inflammatory agent	
BRD-K14496212	bromocriptine	dopamine receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6|HTR7
BRD-K73642618	bromopride	dopamine receptor antagonist	DRD2
BRD-K44665581	bromosporine	bromodomain inhibitor	
BRD-K78643075	bromperidol	dopamine receptor antagonist	DRD2
BRD-K01825159	brompheniramine	histamine receptor antagonist	HRH1
BRD-K33457401	bronopol		
BRD-K17500877	bropirimine	interferon inducer	
BRD-K36222532	broxaldine		
BRD-A08316590	broxaterol	adrenergic receptor agonist	ADRB2
BRD-K79095980	broxuridine	antimetabolite	
BRD-K23301018	broxyquinoline	antiprotozoal agent	
BRD-A36057565	bruceantin	protein synthesis inhibitor	
BRD-K68077509	brucine	glycine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
BRD-K31313613	BS-181	CDK inhibitor	CDK7
BRD-K00003444	BT-11	cAMP stimulant	
BRD-K37933329	BTB06584	ATPase inhibitor	ATP5F1
BRD-K89000287	BTB1	mitotic kinesin inhibitor	KIF18A
BRD-K00003437	BTK-IN-1	Bruton's tyrosine kinase (BTK) inhibitor	
BRD-K64178227	BTS		
BRD-A68304895	BTS-54505	dopamine reuptake inhibitor	SLC6A2|SLC6A3|SLC6A4
BRD-K00010938	BTS-71321		
BRD-A65793993	BTS-72664	GABA receptor antagonist	GABBR1
BRD-K01492390	BTT-3033	integrin inhibitor	ITGA2|ITGB1
BRD-A53037217	BTZ043-racemate	DPRE1 inhibitor	
BRD-K55344148	BU-224	imidazoline receptor ligand	MAOA|MAOB
BRD-K11696279	BU-239	imidazoline receptor agonist|imidazoline receptor ligand	
BRD-A88684804	bucetin	analgesic agent	
BRD-K24697665	bucillamine	immunosuppressant	
BRD-A94624445	bucladesine	adenosine receptor agonist|cAMP stimulant	PRKACA
BRD-K01825692	bucladesine	adenosine receptor agonist|cAMP stimulant	PRKACA
BRD-A91444184	buclizine	histamine receptor antagonist	HRH1
BRD-A34299591	budesonide	glucocorticoid receptor agonist	NR3C1
BRD-K18324993	budipine	glutamate receptor antagonist	GRIN1
BRD-K36660044	bufexamac	cyclooxygenase inhibitor	HDAC10|HDAC6
BRD-K19462402	buflomedil	adrenergic receptor antagonist|calcium channel blocker	ADRA1A
BRD-K38197229	bumetanide	solute carrier family member inhibitor	CFTR|GPR35|SLC12A1|SLC12A2|SLC12A4|SLC12A5
BRD-K35034482	bunazosin	adrenergic receptor antagonist	ADRA1A
BRD-K42191735	buparlisib	PI3K inhibitor	PIK3CA|PIK3CG
BRD-A07947329	buparvaquone	antiprotozoal agent	
BRD-A36267905	buphenine	adrenergic receptor agonist	ADRB2
BRD-K51700582	bupicomide	adrenergic receptor antagonist	ADRB1
BRD-K00003636	bupivacaine	sodium channel blocker	KCNA5|SCN10A
BRD-A48420483	bupranolol	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3
BRD-K01826729	bupropion	dopamine reuptake inhibitor	SLC6A2|SLC6A3
BRD-K30360804	buramate	antiepileptic	
BRD-K00003161	buserelin	gonadotropin releasing factor hormone receptor agonist	
BRD-K93461745	buspirone	serotonin receptor agonist	DRD2|HTR1A
BRD-K23204545	busulfan	DNA inhibitor	
BRD-K40581315	butabindide	tripeptidyl peptidase inhibitor	TPP2
BRD-K99622919	butacaine	local anesthetic	
BRD-K20620780	butaclamol	dopamine receptor antagonist	DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A
BRD-K71350836	butalbital	GABA receptor antagonist	CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2
BRD-K27217864	butamben	sodium channel blocker	
BRD-K00004715	butaprost	prostaglandin receptor agonist	
BRD-K17497770	butein	EGFR inhibitor|SRC inhibitor	ACE
BRD-K90630139	butenafine	fungal squalene epoxidase inhibitor	SQLE
BRD-A47706533	buthionine-sulfoximine	glutathione transferase inhibitor	GCLM
BRD-A46136514	butibufen	cyclooxygenase inhibitor	
BRD-K01824994	butoconazole	bacterial cell wall synthesis inhibitor	
BRD-A27274504	butofilolol	adrenergic receptor antagonist	
BRD-K08287586	butyl-paraben	DNA synthesis inhibitor	
BRD-K93035859	butylated-hydroxyanisole	antioxidant	
BRD-K53153417	butylated-hydroxytoluene	carbonic anhydrase inhibitor	CA2
BRD-K02260986	butylidenephthalide	cyclooxygenase inhibitor	
BRD-A59378440	butylphthalide	potassium channel antagonist	KCNK2
BRD-K01825841	butylscopolamine-bromide	cholinergic receptor antagonist	
BRD-K56115039	BU226	imidazoline receptor ligand	
BRD-K28965160	BVD-523	MAP kinase inhibitor	
BRD-K01742705	BVT-2733	11-beta hydroxysteroid dehydrogenase inhibitor	HSD17B1
BRD-K68567222	BVT-948	tyrosine phosphatase inhibitor	PTPN1|PTPN11|PTPN2
BRD-K80194255	BW-A4C	lipoxygenase inhibitor	ALOX5
BRD-A55946879	BW-B70C	lipoxygenase inhibitor	ALOX5
BRD-K00003548	BW-180C	opioid receptor agonist	OPRD1|OPRM1
BRD-K00004593	BW-348U87	antiviral	
BRD-K74990253	BW-373U86	opioid receptor agonist	OPRD1
BRD-K07061232	BW-616U	monoamine oxidase inhibitor	MAOA
BRD-K01826747	BW-723C86	serotonin receptor agonist	HTR2A|HTR2B|HTR2C
BRD-K47983010	BX-795	IKK inhibitor	CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1
BRD-K49669041	BX-912	pyruvate dehydrogenase kinase inhibitor	CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1
BRD-K61665160	BYK-204165	PARP inhibitor	PARP1
BRD-K98179423	C-021	CC chemokine receptor antagonist	CCR4
BRD-K72462751	C-1	protein kinase inhibitor	PRKCA
BRD-K15337272	C-751		
BRD-K00003511	CA-4948	kinase inhibitor	
BRD-K41504985	cabagin		
BRD-K54028654	cabaletta	pharmacological chaperone	
BRD-K10384176	cabazitaxel	microtubule inhibitor	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8
BRD-K86882815	cabergoline	dopamine receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR7
BRD-K76819217	cabotegravir	HIV integrase inhibitor	
BRD-K51544265	cabozantinib	RET tyrosine kinase inhibitor|VEGFR inhibitor	KDR|MET|RET
BRD-A90751343	CaCCinh-A01	calcium-activated chloride channel inhibitor	CLCA1
BRD-K00003370	cadazolid	antibacterial 	
BRD-A78134170	cadralazine	adrenergic receptor antagonist	
BRD-K46741531	cafestol	pregnane X receptor agonist	
BRD-K09900591	caffeic-acid	HIV integrase inhibitor|lipoxygenase inhibitor|nitric oxide production inhibitor|tumor necrosis factor production inhibitor	ALOX5|MIF
BRD-K96188950	caffeic-acid-phenethyl-ester	HIV integrase inhibitor	RELA
BRD-K02404261	caffeine	adenosine receptor antagonist|phosphodiesterase inhibitor	ADORA1|ADORA2A|ADORA2B|ADORA3|ATM|ITPR1|ITPR2|ITPR3|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|PIK3CA|PIK3CB|PIK3CD|PRKDC|RYR1|RYR2|RYR3
BRD-K77175907	calcifediol	vitamin D receptor agonist	VDR
BRD-K56429665	calcipotriol	vitamin D receptor agonist	VDR
BRD-K00005332	calcitonin	calcitonin agonist	
BRD-K27316855	calcitriol	vitamin D receptor agonist	VDR
BRD-K35952844	calcium-gluceptate		
BRD-K97009491	calcium-levofolinate		
BRD-K19811997	Calhex-231	calcium sensing receptor negative allosteric modulator	CASR
BRD-K26134695	calpeptin	calpain inhibitor	
BRD-K23248433	camicinal	motilin receptor agonist	MLNR
BRD-K35772771	CaMKII-IN-1	calcium/calmodulin dependent protein kinase inhibitor	AKT1|CAMK2A|CAMK4|MYLK
BRD-K00004732	camobucol	anti-inflammatory agent	
BRD-K43806473	camostat-mesilate	protease inhibitor	PRSS1
BRD-K10034334	camphor-(+)		
BRD-K15714472	camphor-(1R)	TRPV activator	TRPV1
BRD-K37890730	camptothecin	topoisomerase inhibitor	TOP1
BRD-A91733352	camylofine-chlorhydrate		
BRD-K90868879	canagliflozin	sodium/glucose cotransporter inhibitor	SLC5A1|SLC5A2
BRD-K84091759	candesartan	angiotensin receptor antagonist	AGTR1
BRD-A65671304	candesartan-cilexetil	angiotensin receptor antagonist	
BRD-A37348498	candicidin	fungal ergosterol inhibitor	
BRD-K50168500	canertinib	EGFR inhibitor	AKT1|EGFR|ERBB2|ERBB4
BRD-K00004669	cangrelor	purinergic receptor antagonist	
BRD-K81644801	canrenone	mineralocorticoid receptor antagonist	NR3C2
BRD-K80684056	cantharidin	protein phosphatase inhibitor	
BRD-K97025174	capadenoson	adenosine receptor agonist	ADORA1
BRD-K61192372	capecitabine	DNA synthesis inhibitor|thymidylate synthase inhibitor	TYMS
BRD-K04282412	capobenic-acid		
BRD-K00005140	capreomycin	protein synthesis inhibitor	
BRD-K00003188	capromorelin	growth hormone secretagogue receptor agonist	
BRD-K35170555	caprylic-acid		
BRD-K50590187	capsaicin	TRPV agonist	CFTR|TRPV1
BRD-K44849676	capsazepine	TRPV agonist	TRPV1|TRPV4
BRD-K81645907	captamine		
BRD-A79857384	captan		
BRD-K54529596	captopril	angiotensin converting enzyme inhibitor	ACE|LTA4H|MMP2|MMP9
BRD-K62790656	caracemide	ribonucleotide reductase inhibitor	RRM1
BRD-K59895502	caramiphen	cholinergic receptor antagonist	CHRM1|CHRM2
BRD-A50675490	carazolol	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3
BRD-K75037734	carbachol	cholinergic receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2
BRD-K56735750	carbadox	other antibiotic	
BRD-K71799949	carbamazepine	carboxamide antiepileptic	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
BRD-K54208592	carbaril	acetylcholinesterase inhibitor	
BRD-K94848716	carbarsone	antiprotozoal agent	
BRD-A11070335	carbazochrome		
BRD-K12906202	carbendazim	microtubule inhibitor|tubulin polymerization inhibitor	TP53|TUBB
BRD-A13078313	carbenicillin	bacterial cell wall synthesis inhibitor	
BRD-K12765235	carbenoxolone	11-beta hydroxysteroid dehydrogenase inhibitor	GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|HSD11B1|PANX1|PANX2|PANX3
BRD-K06181161	carbetapentane	acetylcholine receptor antagonist	CHRM2
BRD-K56107812	carbetocin	oxytocin receptor agonist	OXTR
BRD-K78712176	carbidopa	aromatic L-amino acid decarboxylase inhibitor	DDC
BRD-K87156652	carbimazole	antithyroid agent	TPO
BRD-K01826745	carbinoxamine	histamine receptor antagonist	HRH1
BRD-K90947825	carboplatin	DNA alkylating agent|DNA inhibitor	
BRD-K68408772	carboxyamidotriazole	calcium channel blocker	CXCL8
BRD-K23533833	carboxylosartan	angiotensin antagonist	AGTR1
BRD-K26530649	carboxypyridine-disulfide		
BRD-K99174507	cardiogenol-C	cardiomyogenesis inducer	
BRD-K50905564	cardionogen-1	WNT signaling inhibitor	CTNNB1
BRD-K49554218	carebastine	histamine receptor antagonist	HRH1
BRD-K15179879	carfilzomib	proteasome inhibitor	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9
BRD-K60240222	carglumic-acid	carbamoyl phosphate synthase activator	CPS1
BRD-K90215590	caricotamide	NADPH quinone oxidoreductase inhibitor	NQO2
BRD-K21670884	cariporide	sodium/hydrogen exchanger inhibitor	SLC9A1
BRD-K57764956	cariprazine	dopamine receptor antagonist	DRD2|DRD3
BRD-K11630072	carmofur	thymidylate synthase inhibitor	TYMS
BRD-K25095405	carmoterol	adrenergic receptor agonist	ADRB2
BRD-K82484965	carmoxirole	dopamine receptor agonist	DRD2
BRD-K36234266	carmustine	DNA alkylating agent|DNA inhibitor	GSR
BRD-A89594340	carnitine-(D/L)		
BRD-A96051074	carnosine	antiglycating agent	
BRD-K70161083	caroverin	cytochrome P450 inhibitor	
BRD-K92129045	caroxazone	monoamine oxidase inhibitor	MAOA|MAOB
BRD-A17411484	carprofen	cyclooxygenase inhibitor	PTGS2
BRD-K13238618	carsalam	analgesic agent	
BRD-A42167015	carteolol	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3
BRD-K71026158	carumonam	bacterial cell wall synthesis inhibitor	
BRD-K01826535	carvedilol	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3
BRD-K09295674	carzenide		CA1|CA12|CA14|CA2|CA6|CA9
BRD-K12413266	casanthranol-variant		
BRD-A25043798	casin	GTPase inhibitor	CDC42
BRD-K00002625	caspofungin	bacterial cell wall synthesis inhibitor|fungal 1,3-beta-D-glucan synthase inhibitor	
BRD-K20897876	castanospermine	glucosidase inhibitor	GAA|GBA
BRD-K92377961	catharanthine	tubulin polymerization inhibitor	
BRD-K40269473	cathepsin-inhibitor-1	cathepsin inhibitor	CTSB|CTSL|CTSV
BRD-K40366680	CAY10505	PI3K inhibitor	PIK3CG
BRD-K41779183	CB-03-01	androgen receptor antagonist	AR
BRD-K59929863	CB-10-277	DNA synthesis inhibitor	
BRD-K49048664	CB-5083	valosin-containing protein inhibitor	VCP
BRD-K58070273	CB-839	glutaminase inhibitor	GLS
BRD-K34675210	CBiPES	glutamate receptor positive allosteric modulator	GRM2
BRD-K00003273	cbl0137	histone chaperone inhibitor	
BRD-K91874254	CBS-1114	lipoxygenase inhibitor	ALOX5
BRD-K16755045	CC-115	DNA protein kinase inhibitor|mTOR inhibitor	MTOR
BRD-K88737571	CC-223	mTOR inhibitor	MTOR
BRD-K00004320	CC-401	JNK inhibitor	MAPK8
BRD-K00003116	CC-90003	MAP kinase inhibitor	
BRD-K48213016	CC-930	JNK inhibitor	
BRD-A79726147	CCG-1423	apoptosis stimulant	RHOC|SRF
BRD-K08893438	CCG-50014	G protein signaling inhibitor	RGS4|RGS8
BRD-K26970495	CCG-63802	G protein signaling inhibitor	RGS4
BRD-K68474505	CCG-63808	G protein signaling inhibitor	RGS4
BRD-K16338837	CCMI	acetylcholine receptor allosteric modulator	CHRNA7
BRD-K06159959	CCMQ	homoquinolinic acid binding inhibitor	
BRD-K90999434	CCT-031374	WNT signaling inhibitor	CTNNB1
BRD-K65503129	CCT018159	HSP inhibitor	HSP90AA1|HSP90AB1
BRD-K76406695	CCT128930	AKT inhibitor	
BRD-K57136142	CCT129202	Aurora kinase inhibitor	AURKA|AURKB|AURKC
BRD-K03289018	CCT137690	Aurora kinase inhibitor	AURKA|AURKB|AURKC
BRD-K00005244	CCT196969	RAF inhibitor	
BRD-K00003276	CCT245737	kinase inhibitor	
BRD-K17751100	CC4	nicotinic receptor agonist	CHRNB2
BRD-K09619322	CD-1530	retinoid receptor agonist	RARG
BRD-K28907958	CD-437	retinoid receptor agonist	RARG
BRD-A08079565	CDBA		
BRD-K87932577	CDK1-5-inhibitor	CDK inhibitor|glycogen synthase kinase inhibitor	CDK1|CDK5|GSK3B
BRD-K43914553	CDK9-IN-6	CDK inhibitor	CDK9
BRD-K02213468	CDPPB	glutamate receptor positive allosteric modulator	GRM5
BRD-K48141473	cebranopadol	opioid receptor agonist	OPRL1|OPRM1
BRD-K86930074	cediranib	KIT inhibitor|VEGFR inhibitor	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB
BRD-A61188230	cedrol		
BRD-K96362839	cedrol-(+)	sedative	
BRD-K20338176	cefaclor	bacterial cell wall synthesis inhibitor	
BRD-K63242551	cefadroxil	bacterial cell wall synthesis inhibitor	SLC15A1|SLC15A2|SLC22A6|SLC22A8
BRD-K15514357	cefalonium	bacterial cell wall synthesis inhibitor	
BRD-K27130738	cefamandole	bacterial cell wall synthesis inhibitor	
BRD-K17903788	cefamandole-nafate	bacterial cell wall synthesis inhibitor	
BRD-K63835048	cefathiamidine	bacterial cell wall synthesis inhibitor	
BRD-K99750640	cefazolin	bacterial cell wall synthesis inhibitor	PON1
BRD-K27515606	cefcapene-pivoxil	bacterial cell wall synthesis inhibitor	
BRD-K15766189	cefdinir	bacterial cell wall synthesis inhibitor	MPO
BRD-K72167406	cefditoren-pivoxil	bacterial cell wall synthesis inhibitor	
BRD-A12077521	cefepime	bacterial cell wall synthesis inhibitor	
BRD-K27798832	cefetamet	bacterial cell wall synthesis inhibitor	
BRD-K21372554	cefetamet-pivoxil	bacterial cell wall synthesis inhibitor	
BRD-K00003257	cefiderocol	antibacterial 	
BRD-K71059170	cefixime	bacterial cell wall synthesis inhibitor	
BRD-K00003661	cefmenoxime	bacterial cell wall synthesis inhibitor	
BRD-K48470486	cefmetazole	bacterial cell wall synthesis inhibitor	
BRD-K77073709	cefminox	bacterial cell wall synthesis inhibitor	
BRD-K22641081	cefodizime	bacterial cell wall synthesis inhibitor	
BRD-K34058848	cefonicid	bacterial cell wall synthesis inhibitor	
BRD-K02292852	cefoperazone	bacterial cell wall synthesis inhibitor	
BRD-K37848908	ceforanide	penicillin binding protein inhibitor	
BRD-K72339976	cefoselis	bacterial cell wall synthesis inhibitor	
BRD-K78364995	cefotaxime	bacterial cell wall synthesis inhibitor	
BRD-A78723049	cefotetan	bacterial cell wall synthesis inhibitor	
BRD-K02275692	cefotiam	bacterial cell wall synthesis inhibitor	
BRD-A76661185	cefotiam-cilexetil	bacterial cell wall synthesis inhibitor	
BRD-K70976396	cefoxitin	bacterial cell wall synthesis inhibitor	
BRD-K46970505	cefozopran	bacterial cell wall synthesis inhibitor	
BRD-K92872987	cefpiramide	bacterial cell wall synthesis inhibitor	
BRD-K56542719	cefpirome	bacterial cell wall synthesis inhibitor	
BRD-A34205213	cefpodoxime	bacterial cell wall synthesis inhibitor	
BRD-K24871708	cefprozil	bacterial cell wall synthesis inhibitor	
BRD-K13797099	cefradine	bacterial cell wall synthesis inhibitor	CYP3A4
BRD-K03907181	cefsulodin	bacterial cell wall synthesis inhibitor	
BRD-K37252028	ceftaroline-fosamil	bacterial cell wall synthesis inhibitor	
BRD-K52117081	ceftazidime	bacterial cell wall synthesis inhibitor	
BRD-K11124378	ceftibuten	bacterial cell wall synthesis inhibitor	
BRD-K82960980	ceftiofur	bacterial cell wall synthesis inhibitor	
BRD-K04301924	ceftizoxim	bacterial cell wall synthesis inhibitor	
BRD-K00003117	ceftobiprole	antiinfective drug	
BRD-K96734425	ceftriaxone	bacterial cell wall synthesis inhibitor	
BRD-K02733959	cefuroxime	bacterial cell wall synthesis inhibitor	
BRD-A22303829	cefuroxime-axetil	bacterial cell wall synthesis inhibitor	
BRD-K02637541	celecoxib	cyclooxygenase inhibitor	CA12|PDPK1|PTGS2
BRD-K00003204	celgosivir	glucosidase inhibitor	
BRD-A95602221	celiprolol	adrenergic receptor antagonist	ADRA2A|ADRB1|ADRB2
BRD-K00003248	cenerimod	sphingosine 1-phosphate receptor modulator	
BRD-K00003181	cenicriviroc	CC chemokine receptor antagonist	
BRD-K00003249	cenobamate	GABA receptor modulator|voltage-gated sodium channel blocker	
BRD-K00004588	centanafadine	dopamine reuptake inhibitor	
BRD-K31329721	centazolone	monoamine oxidase inhibitor	
BRD-K00004619	centhaquin	analgesic agent	
BRD-A28958257	centpropazine	inositol monophosphatase inhibitor	
BRD-K20722021	CEP-32496	RAF inhibitor	BRAF|RAF1
BRD-K37237504	CEP-33779	JAK inhibitor	JAK2
BRD-K72827473	CEP-37440	ALK tyrosine kinase receptor inhibitor	ALK
BRD-K00003396	CEP-40783	AXL kinase inhibitor	
BRD-K90733503	cephalexin	bacterial cell wall synthesis inhibitor	
BRD-K68904758	cephalomannine	DNA polymerase inhibitor	
BRD-K00025564	cephalosporin-c-zn	bacterial cell wall synthesis inhibitor	
BRD-K28210218	cephalothin	bacterial cell wall synthesis inhibitor	
BRD-K49880111	cephapirin	bacterial cell wall synthesis inhibitor	
BRD-K96194081	cepharanthine	NFkB pathway inhibitor	
BRD-A90807417	cephradine	bacterial cell wall synthesis inhibitor	
BRD-K41707108	ceramide	phosphoenolpyruvate carboxylase activator|serine/threonine protein phosphatase activator	
BRD-K22149900	ceritinib	ALK tyrosine kinase receptor inhibitor	ALK|FLT3|IGF1R|INSR|TSSK1B
BRD-K52075040	cerulenin	fatty acid synthase inhibitor	FASN
BRD-K00003320	ceruletide	CCK receptor agonist	CCKAR
BRD-K86954340	cetaben	ACAT inhibitor|cholesterol inhibitor	PPARA
BRD-K94863486	cetilistat	triacylglycerol lipase inhibitor	PNLIP
BRD-K01826520	cetirizine	histamine receptor antagonist	HRH1
BRD-K47079459	cetrimonium		
BRD-K76315403	cetrorelix	gonadotropin releasing factor hormone receptor antagonist	GNRHR|LHCGR
BRD-K87700323	cetylpyridinium		
BRD-K00004291	cevimeline	acetylcholine receptor agonist	CHRM3
BRD-K00003570	cevipabulin	microtubule stimulant|tubulin polymerization inhibitor	TUBB
BRD-A47940219	CE3F4	rap guanine nucleotide exchange factor inhibitor	RAPGEF3
BRD-K27040396	CFI-400945	serine/threonine kinase inhibitor	
BRD-K00003409	CFI-402257	dual specificity protein kinase inhibitor	
BRD-K64341947	CFM-1571	guanylate cyclase activator	
BRD-K42859542	CFM-2	glutamate receptor antagonist	
BRD-K72004355	CFTRinh-172	chloride channel blocker	CFTR
BRD-K52396582	CF102	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3
BRD-K48888725	CG-400549	FABI inhibitor	
BRD-K82028950	CGH2466	adenosine receptor antagonist	ADORA1|ADORA2B|ADORA3
BRD-A50737080	CGK-733	ATM kinase inhibitor|ATR kinase inhibitor	ATM|ATR
BRD-K79584249	CGM097	MDM inhibitor	MDM2
BRD-A40084411	CGP-12177	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3
BRD-K95851186	CGP-13501	GABA receptor modulator	GABBR1
BRD-K01827291	CGP-20712A	adrenergic receptor antagonist	ADRB1|ADRB3
BRD-K00003372	CGP-25454A	dopamine receptor antagonist	
BRD-A35623999	CGP-37157	mitochondrial Na+/Ca2+ exchanger antagonist|sodium/calcium exchange inhibitor	SLC8A1
BRD-A90272038	CGP-37849	glutamate receptor antagonist	GRIN2A|GRIN2B|GRIN2C|GRIN2D
BRD-K00004626	CGP-39551	NMDA receptor antagonist	
BRD-K13087974	CGP-52411	EGFR inhibitor	EGFR
BRD-K32292990	CGP-53353	EGFR inhibitor|PKC inhibitor	EGFR|PRKCB
BRD-A74208568	CGP-54626	GABA receptor antagonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8
BRD-K00004232	CGP-55845	GABA receptor antagonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8
BRD-K42500029	CGP-57380	MAP kinase inhibitor	AURKB|LCK|MKNK1|MKNK2|SGK1
BRD-K79090631	CGP-60474	CDK inhibitor	CDK1|CDK2
BRD-K34321528	CGP-71683	neuropeptide receptor antagonist	NPY5R
BRD-K56239177	CGP-74514	CDK inhibitor	CDK1
BRD-K60946979	CGP-78608	glutamate receptor antagonist	
BRD-K65786282	CGP-7930	GABA receptor modulator	GABBR1
BRD-K49049886	CGS-15943	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3
BRD-K68103045	CGS-20625	benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6
BRD-K27176996	CGS-21680	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3
BRD-K54093161	CGS-9896	GABA receptor antagonist	GABRA1|GABRB2|GABRG2
BRD-K24820488	CH-170		
BRD-K11683436	CH-5183284	fibroblast growth factor inhibitor	FGFR1|FGFR2|FGFR3
BRD-K60302405	CHC	monocarboxylate transporter inhibitor	SLC16A1
BRD-K18135438	chenodeoxycholic-acid	11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	HSD11B1|NR1H4
BRD-K34508702	CHF5074	gamma secretase modulator	PSEN1
BRD-K56483981	chicago-sky-blue-6b	glutamate inhibitor|macrophage migration inhibiting factor inhibitor	MIF
BRD-K28537285	chidamide	HDAC inhibitor	HDAC10|HDAC3
BRD-K52284881	chiniofon	antiprotozoal agent	
BRD-K02241333	CHIR-124	CHK inhibitor	CHEK1
BRD-K42973005	CHIR-98014	glycogen synthase kinase inhibitor	GSK3A|GSK3B
