InChIKey14,broad_id_20170327,deprecated_broad_id_20170327,pert_iname_20170327,broad_id_20180516,deprecated_broad_id_20180516,pert_iname_20180516,broad_id_20180907,deprecated_broad_id_20180907,pert_iname_20180907,broad_id_20200324,deprecated_broad_id_20200324,pert_iname_20200324
GCVFQRRBTCHIPK,BRD-K43002771,,SR-33805,BRD-K43002771,,SR-33805,BRD-K43002771,,SR-33805,BRD-K43002771,,SR-33805
GCWIQUVXWZWCLE,BRD-K19871656,,CPI-0610,BRD-K19871656,,CPI-0610,BRD-K19871656,,CPI-0610,BRD-K19871656,,CPI-0610
GCYIGMXOIWJGBU,BRD-K24593301,,AZD3463,BRD-K24593301,,AZD3463,BRD-K24593301,,AZD3463,BRD-K24593301,,AZD3463
GDFGTRDCCWFXTG,BRD-K02995728,,quinagolide,BRD-K02995728,,quinagolide,BRD-K02995728,,quinagolide,BRD-K02995728,,quinagolide
GDLBFKVLRPITMI,BRD-K73109821,,diazoxide,BRD-K73109821,,diazoxide,BRD-K73109821,,diazoxide,BRD-K73109821,,diazoxide
GDLIGKIOYRNHDA,BRD-K52989797,,clomipramine,BRD-K52989797,,clomipramine,BRD-K52989797,,clomipramine,BRD-K52989797,,clomipramine
GDLNHSUSOZEAOR,BRD-K97233161,,ABT-491,BRD-K97233161,,ABT-491,BRD-K97233161,,ABT-491,BRD-K97233161,,ABT-491
GDPHPXYFLPDZGH,BRD-A89196962,,dalargin,BRD-A89196962,,dalargin,BRD-A89196962,,dalargin,BRD-A89196962,,dalargin
GDVRVPIXWXOKQO,BRD-K19333160,,RKI-1447|SRPIN340,BRD-K19333160,,RKI-1447|SRPIN340,BRD-K19333160,,RKI-1447,BRD-K19333160,,RKI-1447
GDYUVHBMFVMBAF,BRD-K73027814,,oxyfedrine,BRD-K73027814,,oxyfedrine,BRD-K73027814,,oxyfedrine,BRD-K73027814,,oxyfedrine
GECHUMIMRBOMGK,BRD-K41406082,,sulfapyridine,BRD-K41406082,,sulfapyridine,BRD-K41406082,,sulfapyridine,BRD-K41406082,,sulfapyridine
GEFQWZLICWMTKF,BRD-K02976377,,levonordefrin,BRD-K02976377,,levonordefrin,BRD-K02976377,,levonordefrin,BRD-K02976377,,levonordefrin
GEGPCGHEPLKDLY,BRD-M12328004,,C106,BRD-M12328004,,C106,BRD-M12328004,,C106,BRD-M12328004,,C106
GELVZYOEQVJIRR,BRD-K84075000,,2-Chloropyrazine,BRD-K84075000,,2-Chloropyrazine,BRD-K84075000,,2-Chloropyrazine,BRD-K84075000,,2-chloropyrazine
GEPYBHCJBORHCE,BRD-K24821794,,SGC-CBP30,BRD-K24821794,,SGC-CBP30,BRD-K24821794,,SGC-CBP30,BRD-K24821794,,SGC-CBP30
GEVVQZHMFVFGLN,BRD-K30550578,,PF-04620110,BRD-K30550578,,PF-04620110,BRD-K30550578,,PF-04620110,BRD-K30550578,,PF-04620110
GEZHEQNLKAOMCA,BRD-A76999758|BRD-K08542803,,gambogic-acid,BRD-A76999758|BRD-K08542803,,gambogic-acid,BRD-K08542803,BRD-A76999758,gambogic-acid,BRD-K08542803,BRD-A76999758,gambogic-acid
GFBCWCDNXDKFRH,BRD-A62562325,,deoxyarbutin,BRD-A62562325,,deoxyarbutin,BRD-A62562325,,deoxyarbutin,BRD-A62562325,,deoxyarbutin
GFBKORZTTCHDGY,BRD-K97309399,,thiothixene,BRD-K97309399,,thiothixene,BRD-K97309399,,thiothixene,BRD-K04175245,,thiothixene
GFFGJBXGBJISGV,BRD-K26060080,,adenine,BRD-K26060080,,adenine,BRD-K26060080,BRD-M27046829,adenine,BRD-K26060080,BRD-M27046829,adenine
GFGSZUNNBQXGMK,BRD-K26807903,,aklomide,BRD-K26807903,,aklomide,BRD-K26807903,,aklomide,BRD-K26807903,,aklomide
GFICWFZTBXUVIG,BRD-K55822903,,imeglimin,BRD-K55822903,,imeglimin,BRD-K55822903,,imeglimin,BRD-K55822903,,imeglimin
GFIJNRVAKGFPGQ,BRD-K26323068,,leuprolide,BRD-K26323068,,leuprolide,BRD-K26323068,,leuprolide,BRD-K45300898,,leuprolide
GFLQCBTXTRCREJ,BRD-K03289018,,CCT137690,BRD-K03289018,,CCT137690,BRD-K03289018,,CCT137690,BRD-K03289018,,CCT137690
GFMMXOIFOQCCGU,BRD-K05104363,,PD-184352,BRD-K05104363,,PD-184352,BRD-K05104363,,PD-184352,BRD-K05104363,,PD-184352
GFNANZIMVAIWHM,BRD-A37780065|BRD-K77554836|BRD-K97780336,,triamcinolone,BRD-A37780065|BRD-K77554836,,triamcinolone,BRD-K77554836,BRD-A37780065|BRD-K97780336,triamcinolone,BRD-K77554836,BRD-A37780065|BRD-K97780336,triamcinolone
GFNNBHLJANVSQV,BRD-K68336408,,tyrphostin-AG-1478,BRD-K68336408,,tyrphostin-AG-1478,BRD-K68336408,,tyrphostin-AG-1478,BRD-K68336408,,tyrphostin-AG-1478
GFRUPHOKLBPHTQ,BRD-A14208071,,oxyphenonium,BRD-A14208071,,oxyphenonium,BRD-A14208071,,oxyphenonium,BRD-A14208071,,oxyphenonium
GFUITADOEPNRML,BRD-K95362002,,cipemastat,BRD-K95362002,,cipemastat,BRD-K95362002,,cipemastat,BRD-K95362002,,cipemastat
GFWRVVCDTLRWPK,BRD-K01039503,,sofalcone,BRD-K01039503,,sofalcone,BRD-K01039503,,sofalcone,BRD-K01039503,,sofalcone
GGALEXMXDMUMDM,BRD-K55424922,,anpirtoline,BRD-K55424922,,anpirtoline,BRD-K55424922,,anpirtoline,BRD-K55424922,,anpirtoline
GGCSSNBKKAUURC,BRD-K21547160,,sufentanil,BRD-K21547160,,sufentanil,BRD-K21547160,,sufentanil,,,
GGGDNPWHMNJRFN,BRD-K99241550,,metrizoic-acid,BRD-K99241550,,metrizoic-acid,BRD-K99241550,,metrizoic-acid,BRD-K99241550,,metrizoic-acid
GGGJYJXAFSEWNM,BRD-K73381198,,5-fluoro-3-pyridyl-methanol,BRD-K73381198,,5-fluoro-3-pyridyl-methanol,BRD-K73381198,,5-fluoro-3-pyridyl-methanol,BRD-K73381198,,5-fluoro-3-pyridyl-methanol
GGLRYZACPLNCKB,BRD-K43419711,,Wy-16922,BRD-K43419711,,Wy-16922,BRD-K43419711,,Wy-16922,BRD-K43419711,,WY-16922
GGPPBTSXFROGAE,BRD-K38398115,,YM-511,BRD-K38398115,,YM-511,BRD-K38398115,,YM-511,BRD-K38398115,,YM-511
GGUSQTSTQSHJAH,BRD-A61392169,,eliprodil,BRD-A61392169,,eliprodil,BRD-A61392169,,eliprodil,BRD-A61392169,,eliprodil
GGXICVAJURFBLW,BRD-K10961822,,latanoprost,BRD-K10961822,,latanoprost,BRD-K10961822,,latanoprost,BRD-K10961822,,latanoprost
GGXKWVWZWMLJEH,BRD-K45033733,,famciclovir,BRD-K45033733,,famciclovir,BRD-K45033733,,famciclovir,BRD-K45033733,,famciclovir
GHASVSINZRGABV,BRD-K24844714,,5-fluorouracil,BRD-K24844714,,5-fluorouracil,BRD-K24844714,,5-fluorouracil,BRD-K24844714,,5-fluorouracil
GHBFNMLVSPCDGN,BRD-A48938994,,monoctanoin,BRD-A48938994,,monoctanoin,BRD-A48938994,,monoctanoin,BRD-A48938994,,monoctanoin
GHCCBWMZKJQGLS,BRD-A37347161,,BRL-52537,BRD-A37347161,,BRL-52537,BRD-A37347161,,BRL-52537,BRD-A37347161,,BRL-52537
GHDWIFTUSXQYGK,BRD-A70268693,,PG-9,BRD-A70268693,,PG-9,BRD-A70268693,,PG-9,BRD-K00004212,,PG-9
GHMLBKRAJCXXBS,BRD-K74190368,,resorcinol,BRD-K74190368,,resorcinol,BRD-K74190368,,resorcinol,BRD-K74190368,,resorcinol
GHOKWGTUZJEAQD,BRD-K29392254,,pantothenic-acid,BRD-K29392254,,pantothenic-acid,BRD-K29392254,,pantothenic-acid,BRD-K29392254,,pantothenic-acid
GHOSNRCGJFBJIB,BRD-A65671304,,candesartan-cilextil,BRD-A65671304,,candesartan-cilextil,BRD-A65671304,,candesartan-cilextil,BRD-A65671304,,candesartan-cilexetil
GHWJEDJMOVUXEC,BRD-A09828896,,SKF-81297,BRD-A09828896,,SKF-81297,BRD-A09828896,,SKF-81297,BRD-A09828896,,SKF-81297
GHXZTYHSJHQHIJ,BRD-K52256627,,chlorhexidine,BRD-K52256627,,chlorhexidine,BRD-K52256627,,chlorhexidine,BRD-K52256627,,chlorhexidine
GHZHWDWADLAOIQ,BRD-A27143604,,diarylpropionitrile,BRD-A27143604,,diarylpropionitrile,BRD-A27143604,,diarylpropionitrile,BRD-A27143604,,diarylpropionitrile
GIBQQARAXHVEGD,BRD-K02206208,,rapastinel,BRD-K02206208,,rapastinel,BRD-K02206208,,rapastinel,BRD-K02206208,,rapastinel
GIFYKGIODMXYNT,BRD-K33743361,,ML133,BRD-K33743361,,ML133,BRD-K33743361,,ML133,BRD-K33743361,,ML133
GIIZNNXWQWCKIB,BRD-A01320529,,salmeterol,BRD-A01320529,,salmeterol,BRD-A01320529,,salmeterol,BRD-K01826763,,salmeterol
GIJXKZJWITVLHI,BRD-K48061146,,benztropine-mesylate,BRD-K48061146,,benztropine-mesylate,BRD-K48061146,,benztropine-mesylate,BRD-K68804560,,benztropine-mesylate
GIKNHHRFLCDOEU,BRD-A80871782,,hydroxyamphetamine,BRD-A80871782,,hydroxyamphetamine,BRD-A80871782,,hydroxyamphetamine,BRD-A80871782,,hydroxyamphetamine
GIMNAEMRNXUAQP,BRD-K12261274,,zaltidine,BRD-K12261274,,zaltidine,BRD-K12261274,,zaltidine,BRD-K12261274,,zaltidine
GIMSJJHKKXRFGV,BRD-K07160047,,fiacitabine,BRD-K07160047,,fiacitabine,BRD-K07160047,,fiacitabine,BRD-K07160047,,fiacitabine
GIUYCYHIANZCFB,BRD-K71106091,,fludarabine-phosphate,BRD-K71106091,,fludarabine-phosphate,BRD-K71106091,,fludarabine-phosphate,BRD-K71106091,,fludarabine-phosphate
GIYAQDDTCWHPPL,BRD-K73642618,,bromopride,BRD-K73642618,,bromopride,BRD-K73642618,,bromopride,BRD-K73642618,,bromopride
GJAWHXHKYYXBSV,BRD-K51885093,,quinolinic-acid,BRD-K51885093,,quinolinic-acid,BRD-K51885093,,quinolinic-acid,BRD-K51885093,,quinolinic-acid
GJJFMKBJSRMPLA,BRD-A15202882|BRD-K02227374,,milnacipran,BRD-A15202882|BRD-K02227374,,milnacipran,BRD-A15202882|BRD-K02227374,,milnacipran,BRD-K00004287,,milnacipran
GJNNXIYZWIZFRH,BRD-K64338723,,milacemide,BRD-K64338723,,milacemide,BRD-K64338723,,milacemide,BRD-K64338723,,milacemide
GJOCABIDMCKCEG,BRD-K60984070,,PD-166793,BRD-K60984070,,PD-166793,BRD-K60984070,,PD-166793,BRD-K60984070,,PD-166793
GJPICJJJRGTNOD,BRD-K74763371,,bosentan,BRD-K74763371,,bosentan,BRD-K74763371,,bosentan,BRD-K74763371,,bosentan
GJQPMPFPNINLKP,BRD-K71499074,,diclofenamide,BRD-K71499074,,diclofenamide,BRD-K71499074,,diclofenamide,BRD-K71499074,,diclofenamide
GJSURZIOUXUGAL,BRD-K98530306,,clonidine,BRD-K98530306,,clonidine,BRD-K98530306,,clonidine,BRD-K98530306,,clonidine
GJSUWVXFIISKPT,BRD-K03871161,,5-hydroxyectoine,BRD-K03871161,,5-hydroxyectoine,BRD-K03871161,,5-hydroxyectoine,,,
GJUFPAZNBPFNRI,BRD-K45168550,,SB-756050,BRD-K45168550,,SB-756050,BRD-K45168550,,SB-756050,BRD-K45168550,,SB-756050
GKCBAIGFKIBETG,BRD-K45071273,,tetracaine,BRD-K45071273,,tetracaine,BRD-K45071273,,tetracaine,BRD-K45071273,,tetracaine
GKCGWXNLOYTUNC,BRD-K12769093,,PNU-37883,BRD-K12769093,,PNU-37883,BRD-K12769093,,PNU-37883,BRD-K06341478,,PNU-37883
GKDRMWXFWHEQQT,BRD-K85178109,,fostamatinib,BRD-K85178109,,fostamatinib,BRD-K85178109,,fostamatinib,BRD-K85178109,,fostamatinib
GKHIVNAUVKXIIY,BRD-K88506063,,KD025,BRD-K88506063,,KD025,BRD-K88506063,,KD025,BRD-K88506063,,KD025
GKIRPKYJQBWNGO,BRD-K29950728,,clomifene,BRD-K29950728,,clomifene,BRD-K29950728,,clomifene,BRD-K29950728,,clomifene
GKJCVYLDJWTWQU,BRD-K17203476,,LY2874455,BRD-K17203476,,LY2874455,BRD-K17203476,,LY2874455,BRD-K17203476,,LY2874455
GKJZEKSHCJELPL,BRD-A31575449,,CGP-20712A,BRD-A31575449,,CGP-20712A,BRD-A31575449,,CGP-20712A,,,
GKJZMAHZJGSBKD,BRD-K26222048,,"trans-10,cis-12-Conjugated-linoleic-acid",BRD-K26222048,,"trans-10,cis-12-Conjugated-linoleic-acid",BRD-K26222048,,"trans-10,cis-12-Conjugated-linoleic-acid",BRD-K26222048,,"trans-10,cis-12-conjugated-linoleic-acid"
GKNPSSNBBWDAGH,BRD-A62421304,,mepenzolate,BRD-A62421304,,mepenzolate,BRD-A62421304,,mepenzolate,BRD-A62421304,,mepenzolate
GKQPCPXONLDCMU,BRD-K43586850,,lacidipine,BRD-K43586850,,lacidipine,BRD-K43586850,,lacidipine,BRD-K43586850,,lacidipine
GKTWGGQPFAXNFI,BRD-K27721098,,clopidogrel,BRD-K27721098,,clopidogrel,BRD-K27721098,,clopidogrel,BRD-K27721098,,clopidogrel
GKWHICIUSVVNGX,BRD-K95899059,,LY344864,BRD-K95899059,,LY344864,BRD-K95899059,,LY344864,BRD-K95899059,,LY344864
GKWPCEFFIHSJOE,BRD-K60918217,,laquinimod,BRD-K60918217,,laquinimod,BRD-K60918217,,laquinimod,BRD-K60918217,,laquinimod
GLBJJMFZWDBELO,BRD-A84575140,,pimobendan,BRD-A84575140,,pimobendan,BRD-A84575140,,pimobendan,BRD-K01826269,,pimobendan
GLBZSOQDAOLMGC,BRD-K21782625,,AMG458,BRD-K21782625,,AMG458,BRD-K21782625,,AMG458,BRD-K21782625,,AMG458
GLDOVTGHNKAZLK,BRD-K20501889,,octadecan-1-ol,BRD-K20501889,,octadecan-1-ol,BRD-K20501889,,octadecan-1-ol,BRD-K20501889,,octadecan-1-ol
GLDSKRNGVVYJAB,BRD-K58122457,,hesperadin,BRD-K58122457,,hesperadin,BRD-K58122457,,hesperadin,BRD-K58122457,,hesperadin
GLEVLJDDWXEYCO,BRD-A17846016,,trolox,BRD-A17846016,,trolox,BRD-A17846016,,trolox,BRD-A17846016,,trolox
GLUUGHFHXGJENI,BRD-K13249881,,piperazine,BRD-K13249881,,piperazine,BRD-K13249881,,piperazine,BRD-K13249881,,piperazine
GLVAUDGFNGKCSF,BRD-K91601245,,mercaptopurine,BRD-K91601245,,mercaptopurine,BRD-K91601245,,mercaptopurine,BRD-K91601245,,mercaptopurine
GMBQZIIUCVWOCD,BRD-K62277907,,PYM50028,BRD-K62277907,,PYM50028,BRD-K62277907,,PYM50028,BRD-K62277907,,PYM50028
GMGOZCSXMVXXRS,BRD-A92448440,,sari-59-801,BRD-A92448440,,sari-59-801,BRD-A92448440,,sari-59-801,BRD-A92448440,,sari-59-801
GMHKMTDVRCWUDX,BRD-A83937277,,mephenytoin,BRD-A83937277,,mephenytoin,BRD-A83937277,,mephenytoin,BRD-A83937277,,mephenytoin
GMIZZEXBPRLVIV,BRD-K75009076,,SCH-900776,BRD-K75009076,,SCH-900776,BRD-K75009076,,SCH-900776,BRD-K75009076,,SCH-900776
GMJWAIMJHBTYPD,BRD-A85472596,,L-670596,BRD-A85472596,,L-670596,BRD-A85472596,,L-670596,BRD-A85472596,,L-670596
GMNAPBAUIVITMI,BRD-K27799744|BRD-K35479987,,cyclovirobuxin-d,BRD-K27799744|BRD-K35479987,,cyclovirobuxin-d,BRD-K27799744,BRD-K35479987,cyclovirobuxin-d,BRD-K27799744,BRD-K35479987,cyclovirobuxin-D
GMPKIPWJBDOURN,BRD-K79277568,,methoxyamine,BRD-K79277568,,methoxyamine,BRD-K79277568,,methoxyamine,BRD-K79277568,,methoxyamine
GMRQFYUYWCNGIN,BRD-K27316855|BRD-K28731095,,calcitriol,BRD-K27316855|BRD-K28731095,,calcitriol,BRD-K27316855,BRD-K28731095,calcitriol,BRD-K27316855,BRD-K28731095,calcitriol
GMVPRGQOIOIIMI,BRD-K52459643|BRD-K73691377,,alprostadil,BRD-K52459643|BRD-K73691377,,alprostadil,BRD-K52459643,BRD-K73691377,alprostadil,BRD-K52459643,BRD-K73691377,alprostadil
GMYLVKUGJMYTFB,BRD-K16755045,,CC-115,BRD-K16755045,,CC-115,BRD-K16755045,,CC-115,BRD-K16755045,,CC-115
GMZVRMREEHBGGF,BRD-K19456237,,piracetam,BRD-K19456237,,piracetam,BRD-K19456237,,piracetam,BRD-K19456237,,piracetam
GNBHRKFJIUUOQI,BRD-K21913543,,fluorescein,BRD-K21913543,,fluorescein,BRD-K21913543,,fluorescein,BRD-K21913543,,fluorescein
GNMUEVRJHCWKTO,BRD-K43471985,,OTX015,BRD-K43471985,,OTX015,BRD-K43471985,BRD-A53775886,OTX015,BRD-K43471985,BRD-A53775886,OTX015
GNNDEPIMDAZHRQ,BRD-K78627070,,altiratinib,BRD-K78627070,,altiratinib,BRD-K78627070,,altiratinib,BRD-K78627070,,altiratinib
GNOGSFBXBWBTIG,BRD-K46416130,,acetriazoic-acid,BRD-K46416130,,acetriazoic-acid,BRD-K46416130,,acetriazoic-acid,BRD-K46416130,,acetriazoic-acid
GNUXVOXXWGNPIV,BRD-A08255417,,famprofazone,BRD-A08255417,,famprofazone,BRD-A08255417,,famprofazone,BRD-A08255417,,famprofazone
GNXFOGHNGIVQEH,BRD-A31521121,,methocarbamol,BRD-A31521121,,methocarbamol,BRD-A31521121,,methocarbamol,BRD-A31521121,,methocarbamol
GNZCRYWFWKFIDM,BRD-K20431737,,benzoylpas,BRD-K20431737,,benzoylpas,BRD-K20431737,,benzoylpas,BRD-K20431737,,benzoylpas
GOEMGAFJFRBGGG,BRD-A29260609,,acebutolol,BRD-A29260609,,acebutolol,BRD-A29260609,,acebutolol,BRD-A29260609,,acebutolol
GOFXWTVKPWJNGD,BRD-K45906612,,presatovir,BRD-K45906612,,presatovir,BRD-K45906612,,presatovir,BRD-K45906612,,presatovir
GOHCTCOGYKAJLZ,BRD-K30572193,,CTEP,BRD-K30572193,,CTEP,BRD-K30572193,,CTEP,BRD-K30572193,,CTEP
GOIFCXRIFSYPFG,BRD-K57416838,,MRK-409,BRD-K57416838,,MRK-409,BRD-K57416838,,MRK-409,BRD-K57416838,,MRK-409
GOLXRNDWAUTYKT,BRD-K21071223,,VP-20629,BRD-K21071223,,VP-20629,BRD-K21071223,,VP-20629,BRD-K21071223,,VP-20629
GOTMKOSCLKVOGG,BRD-K45435259,,SCH-23390,BRD-K45435259,,SCH-23390,BRD-K45435259,,SCH-23390,BRD-K45435259,,SCH-23390
GOTYRUGSSMKFNF,BRD-A17883755,,lenalidomide,BRD-A17883755,,lenalidomide,BRD-A17883755,,lenalidomide,BRD-A17883755,,lenalidomide
GOVWOKSKFSBNGD,BRD-K02475039,,ethopabate,BRD-K02475039,,ethopabate,BRD-K02475039,,ethopabate,BRD-K02475039,,ethopabate
GOVYBPLHWIEHEJ,BRD-K00627859,,tubastatin-a,BRD-K00627859,,tubastatin-a,BRD-K00627859,,tubastatin-a,BRD-K00627859,,tubastatin-A
GPKJTRJOBQGKQK,BRD-A45889380,,mepacrine,BRD-A45889380,,mepacrine,BRD-A45889380,,mepacrine,BRD-A45889380,,mepacrine
GPNHMOZDMYNCPO,BRD-K41779183,,CB-03-01,BRD-K41779183,,CB-03-01,BRD-K41779183,,CB-03-01,BRD-K41779183,,CB-03-01
GPRBEKHLDVQUJE,BRD-K78364995|BRD-K99586414,,cefotaxime,BRD-K78364995|BRD-K99586414,,cefotaxime,BRD-K78364995,BRD-K99586414,cefotaxime,BRD-K78364995,BRD-K99586414,cefotaxime
GPSZYOIFQZPWEJ,BRD-K64866502,,CYC116,BRD-K64866502,,CYC116,BRD-K64866502,,CYC116,BRD-K64866502,,CYC116
GPTONYMQFTZPKC,BRD-K87492696,,sulfameter,BRD-K87492696,,sulfameter,BRD-K87492696,,sulfameter,BRD-K87492696,,sulfameter
GPTXWRGISTZRIO,BRD-K90374350,,chlorquinaldol,BRD-K90374350,,chlorquinaldol,BRD-K90374350,,chlorquinaldol,BRD-K90374350,,chlorquinaldol
GPXBXXGIAQBQNI,BRD-K56343971,,vemurafenib,BRD-K56343971,,vemurafenib,BRD-K56343971,,vemurafenib,BRD-K56343971,,vemurafenib
GPXLMGHLHQJAGZ,BRD-K18574842|BRD-K96812051,,nafcillin,BRD-K18574842|BRD-K96812051,,nafcillin,BRD-K18574842,BRD-K96812051,nafcillin,BRD-K18574842,BRD-K96812051,nafcillin
GQLCLPLEEOUJQC,BRD-K28383148,,AP1903,BRD-K28383148,,AP1903,BRD-K28383148,,AP1903,BRD-K28383148,,AP1903
GQMYQEAXTITUAE,BRD-K91904471,,SD-169,BRD-K91904471,,SD-169,BRD-K91904471,,SD-169,BRD-K91904471,,SD-169
GQNZGCARKRHPOH,BRD-K30764557,,miocamycin,BRD-K30764557,,miocamycin,BRD-K30764557,,miocamycin,BRD-K30764557,,miocamycin
GQPHQLHUIDOQTA,BRD-K90177246,,tetroquinone,BRD-K90177246,,tetroquinone,BRD-K90177246,,tetroquinone,BRD-K90177246,,tetroquinone
GQYIWUVLTXOXAJ,BRD-K51768138,,lomustine,BRD-K51768138,,lomustine,BRD-K51768138,,lomustine,,,
GRAJFFFXJYFVOC,BRD-K63150726,,JTE-907,BRD-K63150726,,JTE-907,BRD-K63150726,,JTE-907,BRD-K63150726,,JTE-907
GRHLMSBCOPRFNA,BRD-K73469236,,nedaplatin,BRD-K73469236,,nedaplatin,BRD-K73469236,BRD-K34751753,nedaplatin,,,
GROJOWHVXQYQGN,BRD-A55664972,,sodium-tetradecyl-sulfate,BRD-A55664972,,sodium-tetradecyl-sulfate,BRD-A55664972,,sodium-tetradecyl-sulfate,BRD-A55664972,,sodium-tetradecyl-sulfate
GRRNUXAQVGOGFE,BRD-A26049141,,hygromycin-b,,,,,,,BRD-A24252652,,hygromycin-B
GRSZFWQUAKGDAV,BRD-A67531813,,polyinosine,BRD-A67531813,,polyinosine,BRD-A67531813,,polyinosine,BRD-A67531813,,polyinosine
GRTBAGCGDOYUBE,BRD-K83914624,,C11-Acetate,BRD-K83914624,,C11-Acetate,BRD-K83914624,,C11-Acetate,BRD-K83914624,,C11-Acetate
GRZXWCHAXNAUHY,BRD-K71480163,,GDC-0068,BRD-K71480163,,GDC-0068,BRD-K71480163,,GDC-0068,BRD-K43002773,,GDC-0068
GSASOFRDSIKDSN,BRD-K26530649,,carboxypyridine-disulfide,BRD-K26530649,,carboxypyridine-disulfide,BRD-K26530649,,carboxypyridine-disulfide,BRD-K26530649,,carboxypyridine-disulfide
GSCPDZHWVNUUFI,BRD-K08703257,,3-amino-benzamide,BRD-K08703257,,3-amino-benzamide,BRD-K08703257,,3-amino-benzamide,BRD-K08703257,,3-amino-benzamide
GSDSWSVVBLHKDQ,BRD-A24228527|BRD-K09471561|BRD-K88565300,,levofloxacin|ofloxacin,BRD-A24228527|BRD-K09471561|BRD-K88565300,,levofloxacin|ofloxacin,BRD-A24228527|BRD-K09471561,BRD-K88565300,levofloxacin|ofloxacin,BRD-K01826479|BRD-K09471561,BRD-K88565300,levofloxacin|ofloxacin
GSGVDKOCBKBMGG,BRD-K75478907,,GS-39783,BRD-K75478907,,GS-39783,BRD-K75478907,,GS-39783,BRD-K75478907,,GS-39783
GSKQMLGAUOTSKT,BRD-A26835809|BRD-K36394566,,PX-478|melphalan-n-oxide,BRD-A26835809|BRD-K36394566,,PX-478|melphalan-n-oxide,BRD-A26835809|BRD-K36394566,,PX-478|melphalan-n-oxide,BRD-A26835809|BRD-K36394566,,PX-478|melphalan-n-oxide
GSNHKUDZZFZSJB,BRD-A04352665,,maraviroc,BRD-A04352665,,maraviroc,BRD-A04352665,,maraviroc,BRD-K00004293,,maraviroc
GSNOZLZNQMLSKJ,BRD-K95763993,,trapidil,BRD-K95763993,,trapidil,BRD-K95763993,,trapidil,BRD-K95763993,,trapidil
GSQOBTOAOGXIFL,BRD-K34428485,,AG-555,BRD-K34428485,,AG-555,BRD-K34428485,,AG-555,BRD-K34428485,,AG-555
GSVQIUGOUKJHRC,BRD-A37492983,,iocetamic-acid,BRD-A37492983,,iocetamic-acid,BRD-A37492983,,iocetamic-acid,BRD-A37492983,,iocetamic-acid
GSXJSGMDWKPVBY,BRD-K83322645,,L-693403,BRD-K83322645,,L-693403,BRD-K83322645,,L-693403,BRD-K83322645,,L-693403
GSYQNAMOFFWAPF,BRD-A49906757,,scopolamine-n-oxide,BRD-A49906757,,scopolamine-n-oxide,BRD-A49906757,,scopolamine-n-oxide,BRD-A49906757,,scopolamine-N-oxide
GTUIQNHJSXQMKW,BRD-A44188509,,AZD1446,BRD-A44188509,,AZD1446,BRD-A44188509,,AZD1446,BRD-A44188509,,AZD1446
GTUIRORNXIOHQR,BRD-A53037217,,BTZ043-racemate,BRD-A53037217,,BTZ043-racemate,BRD-A53037217,,BTZ043-racemate,BRD-A53037217,,BTZ043-racemate
GTVPOLSIJWJJNY,BRD-K82731415,,olomoucine,BRD-K82731415,,olomoucine,BRD-K82731415,,olomoucine,BRD-K82731415,,olomoucine
GTZCVFVGUGFEME,BRD-K71756122,,cis-aconitic-acid,BRD-K71756122,,cis-aconitic-acid,BRD-K71756122,,cis-aconitic-acid,BRD-K71756122,,cis-aconitic-acid
GUAZPUYTLMUTMA,BRD-K59929863,,CB-10-277,BRD-K59929863,,CB-10-277,BRD-K59929863,,CB-10-277,BRD-K59929863,,CB-10-277
GUBGYTABKSRVRQ,BRD-K74377520,,D-(+)-maltose,BRD-K74377520,,D-(+)-maltose,BRD-K74377520,,D-(+)-maltose,BRD-K74377520,,D-(+)-maltose
GUCUORSUHTZMBW,BRD-K00256256,,AMZ30,BRD-K00256256,,AMZ30,BRD-K00256256,,AMZ30,BRD-K00256256,,AMZ30
GUDVQJXODNJRIJ,BRD-K70490179,,rimcazole,BRD-K70490179,,rimcazole,BRD-K70490179,,rimcazole,BRD-K70490179,,rimcazole
GUGOEEXESWIERI,BRD-A06352418,,terfenadine,BRD-A06352418,,terfenadine,BRD-A06352418,,terfenadine,BRD-A06352418,,terfenadine
GUHPRPJDBZHYCJ,BRD-A72988804,,tiaprofenic-acid,BRD-A72988804,,tiaprofenic-acid,BRD-A72988804,,tiaprofenic-acid,BRD-A72988804,,tiaprofenic-acid
GUJRSXAPGDDABA,BRD-K54094468,,remoxipride,BRD-K54094468,,remoxipride,BRD-K54094468,,remoxipride,BRD-K54094468,,remoxipride
GULNIHOSWFYMRN,BRD-K88405679,,thonzylamine,BRD-K88405679,,thonzylamine,BRD-K88405679,,thonzylamine,BRD-K88405679,,thonzylamine
GUOQUXNJZHGPQF,BRD-K00662280,,CL-218872,BRD-K00662280,,CL-218872,BRD-K00662280,,CL-218872,BRD-K00662280,,CL-218872
GUTXTARXLVFHDK,BRD-K80859331,,haloperidol-decanoate,BRD-K80859331,,haloperidol-decanoate,BRD-K80859331,,haloperidol-decanoate,BRD-K80859331,,haloperidol-decanoate
GUTYHDCSDBBMGW,BRD-K45385835,,SX-011,BRD-K45385835,,SX-011,BRD-K45385835,,SX-011,BRD-K45385835,,SX-011
GUUIRIMAQGOLHT,BRD-K18834913,,LB42708,BRD-K18834913,,LB42708,BRD-K18834913,,LB42708,BRD-K18834913,,LB42708
