!Source	"The Drug Repurposing Hub, Broad Institute"		
!URL	http://www.broadinstitute.org/repurposing		
!File_date	3/27/17		
!Table_name	drug information		
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.		
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER’S SOLE RISK.		
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.		
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 23 (2017)."		
!Contact	repurposing@broadinstitute.org		
pert_iname	clinical_phase	moa	target
C-751	Preclinical		
cabagin	Launched		
cabaletta	Phase 2	pharmacological chaperone	
cabazitaxel	Launched	microtubule inhibitor	TUBA4A|TUBB|TUBB1
cabergoline	Launched	dopamine receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR7
cabotegravir	Phase 2/Phase 3	HIV integrase inhibitor	
cabozantinib	Launched	RET tyrosine kinase inhibitor|VEGFR inhibitor	KDR|MET
cadralazine	Launched	adrenergic receptor antagonist	
cafestol	Launched	pregnane X receptor agonist	
caffeic-acid	Preclinical	HIV integrase inhibitor|lipoxygenase inhibitor|nitric oxide production inhibitor|tumor necrosis factor production inhibitor	ALOX5|MIF
caffeic-acid-phenethyl-ester	Preclinical	HIV integrase inhibitor	RELA
caffeine	Launched	adenosine receptor antagonist|phosphodiesterase inhibitor	ADORA1|ADORA2A|ADORA2B|ADORA3|ATM|ITPR1|ITPR2|ITPR3|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|PIK3CA|PIK3CB|PIK3CD|PRKDC|RYR1|RYR2|RYR3
calcifediol	Launched	vitamin D receptor agonist	VDR
calcipotriol	Launched	vitamin D receptor agonist	VDR
calcitriol	Launched	vitamin D receptor agonist	VDR
calcium-gluceptate	Launched		
calcium-levofolinate	Launched		
calpeptin	Preclinical	calpain inhibitor	
camicinal	Phase 2	motilin receptor agonist	MLNR
CaMKII-IN-1	Preclinical	calcium/calmodulin dependent protein kinase inhibitor	AKT1|CAMK2A|CAMK4|MYLK
camostat-mesilate	Launched	protease inhibitor	PRSS1
camphor-(+)	Phase 2		TRPV1
camphor-(1r)	Phase 1	TRPV activator	
camptothecin	Phase 3	topoisomerase inhibitor	TOP1
camylofine-chlorhydrate	Launched		
canagliflozin	Launched	sodium/glucose cotransporter inhibitor	SLC5A1|SLC5A2
candesartan	Launched	angiotensin receptor antagonist	AGTR1
candesartan-cilextil	Launched	angiotensin receptor antagonist	AGTR1|AGTR2
candicidin	Launched	fungal ergosterol inhibitor	
canertinib	Phase 3	EGFR inhibitor	AKT1|EGFR|ERBB2|ERBB4
canrenone	Withdrawn	mineralocorticoid receptor antagonist	NR3C2
cantharidin	Launched	protein phosphatase inhibitor	
capadenoson	Phase 2	adenosine receptor agonist	ADORA1
capecitabine	Launched	DNA synthesis inhibitor|thymidylate synthase inhibitor	TYMS
capobenic-acid	Preclinical		
capreomycin	Launched	protein synthesis inhibitor	
caprylic-acid	Launched		
capsaicin	Launched	TRPV agonist	CFTR|TRPV1
capsazepine	Preclinical	TRPV agonist	TRPV1|TRPV4
captamine	Preclinical		
captan	Phase 1		
captopril	Launched	angiotensin converting enzyme inhibitor	ACE|LTA4H|MMP2|MMP9
caracemide	Phase 2	ribonucleotide reductase inhibitor	RRM1
caramiphen	Launched	cholinergic receptor antagonist	CHRM1|CHRM2
carazolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3
carbachol	Launched	cholinergic receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2
carbadox	Launched	other antibiotic	
carbamazepine	Launched	carboxamide antiepileptic	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
carbaril	Launched	acetylcholinesterase inhibitor	
carbarsone	Launched	antiprotozoal agent	
carbazochrome	Launched		
carbendazim	Launched	microtubule inhibitor|tubulin polymerization inhibitor	TP53|TUBB
carbenicillin	Launched	bacterial cell wall synthesis inhibitor	
carbenoxolone	Launched	11-beta hydroxysteroid dehydrogenase inhibitor	GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|HSD11B1|PANX1|PANX2|PANX3
carbetapentane	Launched	acetylcholine receptor antagonist	CHRM2
carbetocin	Launched	oxytocin receptor agonist	OXTR
carbidopa	Launched	aromatic L-amino acid decarboxylase inhibitor	DDC
carbimazole	Launched	antithyroid agent	TPO
carbinoxamine	Launched	histamine receptor antagonist	HRH1
carboplatin	Launched	DNA alkylating agent|DNA inhibitor	
carboxyamidotriazole	Phase 3	calcium channel blocker	CXCL8
carboxylosartan	Phase 1	angiotensin antagonist	AGTR1
carboxypyridine-disulfide	Phase 2		
cardiogenol-c	Preclinical	cardiomyogenesis inducer	
carebastine	Phase 1	histamine receptor antagonist	HRH1
carfilzomib	Launched	proteasome inhibitor	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9
carglumic-acid	Launched	carbamoyl phosphate synthase activator	CPS1
caricotamide	Phase 2	NADPH quinone oxidoreductase inhibitor	NQO2
cariporide	Phase 3	sodium/hydrogen exchanger inhibitor	SLC9A1
cariprazine	Launched	dopamine receptor antagonist	DRD2|DRD3
carisoprodol	Launched	acetylcholine receptor antagonist	CYP2C19
carmofur	Launched	thymidylate synthase inhibitor	TYMS
carmoterol	Phase 2	adrenergic receptor agonist	ADRB2
carmoxirole	Phase 2	dopamine receptor agonist	DRD2
carmustine	Launched	DNA alkylating agent|DNA inhibitor	GSR
carnitine-(D/L)	Phase 3		
carnosine	Phase 2	antiglycating agent	
caroverine	Launched	glutamate receptor antagonist|calcium channel blocker	
caroxazone	Withdrawn	monoamine oxidase inhibitor	MAOA|MAOB
carprofen	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
carsalam	Preclinical	analgesic agent	
carteolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2
carumonam	Launched	bacterial cell wall synthesis inhibitor	
carvedilol	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|GJA1|HIF1A|KCNH2|NDUFC2|NPPB|SELE|VCAM1|VEGFA
carzenide	Preclinical		CA1|CA12|CA14|CA2|CA6|CA9
casanthranol-variant	Launched		
caspofungin	Launched	"fungal 1,3-beta-D-glucan synthase inhibitor|bacterial cell wall synthesis inhibitor"	
caspofungin-acetate	Launched	"fungal 1,3-beta-D-glucan synthase inhibitor"	
castanospermine	Phase 2	glucosidase inhibitor	GAA|GBA
catharanthine	Preclinical	tubulin polymerization inhibitor	
cathepsin-inhibitor-1	Preclinical	cathepsin inhibitor	CTSB|CTSL|CTSV
CAY10505	Preclinical	PI3K inhibitor	PIK3CG
CB-03-01	Phase 3	androgen receptor antagonist	AR
CB-10-277	Phase 1	DNA synthesis inhibitor	
CB-5083	Phase 1	valosin-containing protein inhibitor	VCP
CB-839	Phase 1/Phase 2	glutaminase inhibitor	GLS
CBS-1114	Phase 1	lipoxygenase inhibitor	ALOX5
CC-115	Phase 1	mTOR inhibitor|DNA protein kinase inhibitor	MTOR
CC-223	Phase 1/Phase 2	mTOR inhibitor	MTOR
CC-401	Phase 1	JNK inhibitor	MAPK8
CC-930	Phase 2	JNK inhibitor	
CCG-50014	Preclinical	G protein signaling inhibitor	RGS4|RGS8
CCG-63802	Preclinical	G protein signaling inhibitor	RGS4
CCG-63808	Preclinical	G protein signaling inhibitor	RGS4
CCMI	Preclinical	acetylcholine receptor allosteric modulator	CHRNA7
CCMQ	Preclinical	homoquinolinic acid binding inhibitor	
CCT018159	Preclinical	HSP inhibitor	HSP90AA1|HSP90AB1
CCT128930	Preclinical	AKT inhibitor	PKIA|PRKACA
CCT129202	Preclinical	Aurora kinase inhibitor	AURKA|AURKB|AURKC
CCT137690	Preclinical	Aurora kinase inhibitor	AURKA|AURKB|AURKC
CD-1530	Preclinical	retinoid receptor agonist	RARG
CD-437	Preclinical	retinoid receptor agonist	RARG
CDBA	Phase 3		
CDK1-5-inhibitor	Preclinical	CDK inhibitor|glycogen synthase kinase inhibitor	CDK1|CDK5|GSK3B
CDK9-IN-6	Preclinical	CDK inhibitor	CDK9
cebranopadol	Phase 3	opioid receptor agonist	OPRL1|OPRM1
cediranib	Phase 3	KIT inhibitor|VEGFR inhibitor	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB
cedrol	Phase 2		
cedrol-(+)	Phase 2	sedative	
cefaclor	Launched	bacterial cell wall synthesis inhibitor	
cefadroxil	Launched	bacterial cell wall synthesis inhibitor	SLC15A1|SLC15A2|SLC22A6|SLC22A8
cefalonium	Launched	bacterial cell wall synthesis inhibitor	
cefamandole	Launched	bacterial cell wall synthesis inhibitor	
cefamandole-nafate	Launched	bacterial cell wall synthesis inhibitor	
cefathiamidine	Launched	bacterial cell wall synthesis inhibitor	
cefazolin	Launched	bacterial cell wall synthesis inhibitor	PON1
cefcapene-pivoxil	Launched	bacterial cell wall synthesis inhibitor	
cefdinir	Launched	bacterial cell wall synthesis inhibitor	MPO
cefditoren-pivoxil	Launched	bacterial cell wall synthesis inhibitor	
cefepime	Launched	bacterial cell wall synthesis inhibitor	
cefetamet	Launched	bacterial cell wall synthesis inhibitor	
cefetamet-pivoxil	Launched	bacterial cell wall synthesis inhibitor	
cefixime	Launched	bacterial cell wall synthesis inhibitor	
cefmenoxime	Launched	bacterial cell wall synthesis inhibitor	
cefmetazole	Launched	bacterial cell wall synthesis inhibitor	
cefminox	Launched	bacterial cell wall synthesis inhibitor	
cefodizime	Launched	bacterial cell wall synthesis inhibitor	
cefonicid	Launched	bacterial cell wall synthesis inhibitor	
cefoperazone	Launched	bacterial cell wall synthesis inhibitor	
ceforanide	Launched	penicillin binding protein inhibitor	
cefoselis	Launched	bacterial cell wall synthesis inhibitor	
cefotaxime	Launched	bacterial cell wall synthesis inhibitor	
cefotetan	Launched	bacterial cell wall synthesis inhibitor	
cefotiam	Launched	bacterial cell wall synthesis inhibitor	
cefotiam-cilexetil	Launched	bacterial cell wall synthesis inhibitor	
cefoxitin	Launched	bacterial cell wall synthesis inhibitor	
cefozopran	Launched	bacterial cell wall synthesis inhibitor	
cefpiramide	Launched	bacterial cell wall synthesis inhibitor	
cefpirome	Launched	bacterial cell wall synthesis inhibitor	
cefpodoxime	Launched	bacterial cell wall synthesis inhibitor	
cefprozil	Launched	bacterial cell wall synthesis inhibitor	
cefradine	Launched	bacterial cell wall synthesis inhibitor	CYP3A4
cefsulodin	Launched	bacterial cell wall synthesis inhibitor	
ceftaroline-fosamil	Launched	bacterial cell wall synthesis inhibitor	
ceftazidime	Launched	bacterial cell wall synthesis inhibitor	
ceftibuten	Launched	bacterial cell wall synthesis inhibitor	
ceftiofur	Launched	bacterial cell wall synthesis inhibitor	
ceftizoxim	Launched	bacterial cell wall synthesis inhibitor	
ceftriaxone	Launched	bacterial cell wall synthesis inhibitor	
cefuroxime	Launched	bacterial cell wall synthesis inhibitor	
cefuroxime-axetil	Launched	bacterial cell wall synthesis inhibitor	
celecoxib	Launched	cyclooxygenase inhibitor	CA12|PDPK1|PTGS2
celiprolol	Launched	adrenergic receptor antagonist	ADRA2A|ADRB1|ADRB2
centazolone	Phase 1	monoamine oxidase inhibitor	
centpropazine	Phase 3	inositol monophosphatase inhibitor	
CEP-32496	Phase 1/Phase 2	RAF inhibitor	BRAF|RAF1
CEP-33779	Preclinical	JAK inhibitor	JAK2
CEP-37440	Phase 1	ALK tyrosine kinase receptor inhibitor	ALK
cephalexin	Launched	bacterial cell wall synthesis inhibitor	
cephalomannine	Preclinical	DNA polymerase inhibitor	
cephalosporin-c-zn	Preclinical	bacterial cell wall synthesis inhibitor	
cephalothin	Launched	bacterial cell wall synthesis inhibitor	
cephapirin	Launched	bacterial cell wall synthesis inhibitor	
cepharanthine	Phase 2	NFkB pathway inhibitor	
cephradine	Launched	bacterial cell wall synthesis inhibitor	
ceramide	Launched	phosphoenolpyruvate carboxylase activator|serine/threonine protein phosphatase activator	
ceritinib	Launched	ALK tyrosine kinase receptor inhibitor	ALK|FLT3|IGF1R|INSR|TSSK1B
cerulenin	Launched	fatty acid synthase inhibitor	FASN
cetaben	Phase 2	cholesterol inhibitor|ACAT inhibitor	PPARA
cetilistat	Phase 3	triacylglycerol lipase inhibitor	PNLIP
cetirizine	Launched	histamine receptor antagonist	HRH1
cetrimonium	Launched		
cetrorelix	Launched	gonadotropin releasing factor hormone receptor antagonist	GNRHR|LHCGR
cetylpyridinium	Launched		
cevimeline	Launched	acetylcholine receptor agonist	CHRM1|CHRM3
cevipabulin	Phase 1	microtubule stimulant|tubulin polymerization inhibitor	TUBB
CFM-1571	Preclinical	guanylate cyclase activator	
CFM-2	Preclinical	glutamate receptor antagonist	
CFTRinh-172	Preclinical	chloride channel blocker	CFTR
CF102	Phase 2	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3
CG-400549	Phase 2	FABI inhibitor	
CGH2466	Preclinical	adenosine receptor antagonist	ADORA1|ADORA2B|ADORA3
CGK-733	Preclinical	ATM kinase inhibitor|ATR kinase inhibitor	ATM|ATR
CGM097	Phase 1	MDM inhibitor	MDM2
CGP-12177	Phase 1	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3
CGP-13501	Preclinical	GABA receptor modulator	GABBR1
CGP-20712A	Preclinical	adrenergic receptor antagonist	ADRB1|ADRB3
CGP-37157	Preclinical	mitochondrial Na+/Ca2+ exchanger antagonist|sodium/calcium exchange inhibitor	SLC8A1
CGP-37849	Phase 1	glutamate receptor antagonist	GRIN2A|GRIN2B|GRIN2C|GRIN2D
CGP-52411	Preclinical	EGFR inhibitor	EGFR
CGP-53353	Preclinical	EGFR inhibitor|PKC inhibitor	EGFR|PRKCB
CGP-54626	Preclinical	GABA receptor antagonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8
CGP-55845	Preclinical	GABA receptor antagonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8
CGP-57380	Preclinical	MAP kinase inhibitor	AURKB|LCK|MKNK1|MKNK2|SGK1
CGP-71683	Preclinical	neuropeptide receptor antagonist	NPY5R
CGP-78608	Preclinical	glutamate receptor antagonist	
CGP-7930	Preclinical	GABA receptor modulator	GABBR1
CGS-15943	Preclinical	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3
CGS-20625	Phase 1	benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6
CGS-21680	Preclinical	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3
CGS-9896	Preclinical	GABA receptor antagonist	GABRA1|GABRB2|GABRG2
CH-170	Phase 1		
CH-5183284	Phase 1	fibroblast growth factor inhibitor	FGFR1|FGFR2|FGFR3
chenodeoxycholic-acid	Launched	11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	NR1H4
chenodiol	Launched	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1
CHF5074	Phase 2	gamma secretase modulator	PSEN1
chicago-sky-blue-6b	Preclinical	glutamate inhibitor|macrophage migration inhibiting factor inhibitor	MIF
chidamide	Launched	HDAC inhibitor	HDAC10|HDAC3
chiniofon	Launched	antiprotozoal agent	
CHIR-124	Preclinical	CHK inhibitor	CHEK1
CHIR-98014	Preclinical	glycogen synthase kinase inhibitor	GSK3A|GSK3B
CHIR-99021	Preclinical	glycogen synthase kinase inhibitor	CDK1|GSK3A|GSK3B|MAPK1
chloralose	Preclinical		
chlorambucil	Launched	DNA inhibitor	
chloramine-t	Launched		
chloramphenicol	Launched	bacterial 50S ribosomal subunit inhibitor	CD55
chloramphenicol-palmitate	Launched	protein synthesis inhibitor	
chloramphenicol-sodium-succinate	Launched	protein synthesis inhibitor	
chlorazanil	Preclinical		
chlorcyclizine	Launched	histamine receptor antagonist	HRH1
chlorfenson	Phase 2	other antifungal	
chlorhexidine	Launched	membrane integrity inhibitor	
chlorindanol	Preclinical		
chlorindione	Preclinical		
chlorisondamine-diiodide	Preclinical	acetylcholine receptor antagonist	CHRNA1
chlormadinone-acetate	Launched	5 alpha reductase inhibitor	PGR
chlormezanone	Withdrawn	GABA receptor modulator	GABRA1|TSPO
chlormidazole	Launched	fungal lanosterol demethylase inhibitor	
chlorobutanol	Launched		
chlorocresol	Launched	ryanodine receptor activator	
chlorogenic-acid	Launched	antioxidant	SLC37A4
chlorophyllide-cu-complex-na-salt	Preclinical		
chlorophyllin	Preclinical		
chlorophyllin-copper	Phase 1	cytochrome P450 inhibitor	
chloroprocaine	Launched	sodium channel blocker	ATP1A1|CHRNA10|GRIN3A|HTR3A|SCN10A|SLC6A3
chloropyramine	Launched	histamine receptor antagonist	HRH1
chloroquine	Launched	antimalarial agent	GSTA2|MRGPRX1|TLR9|TNF
chlorothiazide	Launched	diuretic	CA1|CA2|CA4|SLC12A3
chlorothymol	Launched		
chlorotrianisene	Launched	estrogenic hormone	ESR1|ESR2
chloroxine	Launched	opioid receptor antagonist	OPRK1
chloroxoquinoline	Launched		
chloroxylenol	Launched	ATP synthase inhibitor	
chlorphenamine	Launched	histamine receptor antagonist	HRH1|SLC6A2|SLC6A3|SLC6A4
chlorphenesin	Launched	muscle relaxant	
chlorphensin-carbamate	Preclinical	muscle relaxant	
chlorproguanil	Launched	dihydrofolate reductase inhibitor	DHFR
chlorpromazine	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALM1|CHRM1|CHRM3|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|HTR7|KCNH2|ORM1|ORM2|SMPD1|TRPC5
chlorpropamide	Launched	ATP channel blocker	ABCC8|KCNJ10|KCNJ11
chlorpropham	Phase 1	antiviral	
chlorprothixene	Launched	dopamine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|HRH1|HTR2A|HTR2B|HTR2C
chlorpyrifos	Launched	acetylcholinesterase inhibitor	ACHE
chlorquinaldol	Launched	other antibiotic	
chlortetracycline	Launched	protein synthesis inhibitor	
chlorthalidone	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA4|CA7|SLC12A1|SLC12A3
chlorzoxazone	Launched	bacterial 30S ribosomal subunit inhibitor	KCNMA1|KCNN4
cholecalciferol	Launched		VDR
cholesterol	Preclinical		RORA
cholic-acid	Launched	bile acid	ADH1C|CES1|COX4I1|COX5A|COX5B|COX6A2|COX6B1|COX6C|COX7A1|COX7B|COX7C|COX8A|ESRRG|FABP6|FECH|GPBAR1|MT-CO1|MT-CO2|MT-CO3|PLA2G1B
choline	Phase 3	acetylcholine precursor	ACHE|BCHE|CHRNA2|PCYT1A|PCYT1B|PHOSPHO1|PLD1|PLD2
choline-alfoscerate	Launched	acetylcholine precursor	GM2A
CHPG	Preclinical	glutamate receptor agonist	GRM5
CHR-6494	Preclinical	serine/threonine kinase inhibitor	GSG2
chromanol-(+/-)	Preclinical	potassium channel blocker	
chromocarb	Launched	antispasmodic	
chrysin	Phase 1	breast cancer resistance protein inhibitor	AKR1B1|CDK6|CYP19A1|CYP1B1
chrysophanic-acid	Preclinical	EGFR inhibitor	EGFR|MTOR
chuanxiongzine	Phase 2		
CH223191	Preclinical	aryl hydrocarbon receptor antagonist	AHR
CH5132799	Phase 1	PI3K inhibitor	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG
CH55	Preclinical	retinoid receptor binder	RARA|RARB
CI-844	Phase 2		
CI-923	Phase 1	acetylcholine receptor antagonist	
CI-966	Phase 1	GAT inhibitor	SLC6A1
CI-976	Phase 1	ACAT inhibitor	ACAT1|CES1
ciaftalan-zinc	Phase 1	reactive oxygen species stimulant	
cianidanol	Withdrawn	fatty acid synthase inhibitor	PTGS1
cibenzoline	Launched	sodium channel blocker	
ciclesonide	Launched	glucocorticoid receptor agonist	NR3C1|SERPINA6
ciclopirox	Launched	membrane integrity inhibitor	ATP1A1
cicloprofen	Preclinical	cyclooxygenase inhibitor	PTGS1|PTGS2
CID-5458317	Preclinical	MAP kinase phosphatase inhibitor	MAPK3
cidofovir	Launched	DNA polymerase inhibitor	
ciglitazone	Phase 2	PPAR receptor agonist	PPARG
cilastatin	Launched	dehydropeptidase inhibitor	DPEP1
cilazapril	Launched	angiotensin converting enzyme inhibitor	ACE
cilengitide	Phase 3	integrin antagonist	ITGAV|ITGB3
cilnidipine	Launched	calcium channel blocker	CACNA1B
cilomilast	Phase 3	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4D
cilostamide	Preclinical	phosphodiesterase inhibitor	PDE3A|PDE3B
cilostazol	Launched	phosphodiesterase inhibitor	PDE3A|PDE3B
cimaterol	Preclinical	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3
cimetidine	Launched	histamine receptor antagonist	HRH2|SLC29A4|SLC47A1|SLC47A2
cimetropium	Launched	acetylcholine receptor antagonist	CHRM1
cinacalcet	Launched	calcium channel activator	CASR
cinaciguat	Phase 2	guanylate cyclase activator	GUCY1A3|GUCY1B3
cinalukast	Phase 2	leukotriene receptor antagonist	CYSLTR1
cinanserin	Preclinical	serotonin receptor antagonist	HTR2A
cinchocaine	Launched	sodium channel blocker	CALM1|SCN10A|SCN5A
cinchonidine	Phase 1	P glycoprotein inhibitor	
cinchonine	Preclinical	P glycoprotein inhibitor	CYP2D6
cinchophen	Launched	analgesic agent	
cinepazet	Launched	vasodilator	
cinepazide	Withdrawn	calcium channel activator	
cinflumide	Phase 2	muscle relaxant	
cinnamaldehyde	Preclinical	aldose reductase inhibitor|TRPV agonist	TRPA1
cinnarazine	Launched	calcium channel blocker	
cinoctramide	Preclinical		
cinoxacin	Launched	topoisomerase inhibitor	
cinoxate	Launched		
cinromide	Phase 3		
cintriamide	Preclinical		
cipemastat	Phase 3	metalloproteinase inhibitor	ADAM17|MMP1|MMP13|MMP2|MMP3|MMP8|MMP9
ciprofibrate	Launched	PPAR receptor agonist	PPARA
ciprofloxacin	Launched	bacterial DNA gyrase inhibitor	TOP2A
ciproxifan	Preclinical	histamine receptor antagonist	ADRA2A|ADRA2C|HRH3|HRH4|HTR3A
cirazoline	Preclinical	adrenergic receptor agonist	ADRA1A
cis-aconitic-acid	Preclinical		ACO2
cis-ACPD	Preclinical	glutamate receptor agonist	GRM2|GRM3|GRM6|GRM7|GRM8
cis-urocanic acid	Phase 2	serotonin receptor agonist	HTR2A
cis-urocanic-acid	Phase 2	serotonin receptor agonist	HTR2A
cisapride	Withdrawn	serotonin receptor agonist	HTR2A|HTR3A|HTR4|KCNH2
cisplatin	Launched	DNA alkylating agent|DNA synthesis inhibitor	XIAP
citalopram	Launched	selective serotonin reuptake inhibitor (SSRI)	SLC6A2|SLC6A4
CITCO	Preclinical	constitutive androstane receptor (CAR) agonist	NR1I3
citicoline	Launched	membrane permeability enhancer|glutathione transferase stimulant	ACHE|SLC1A2
citiolone	Preclinical	lipotropic|mucolytic agent	
citric-acid	Preclinical	coagulation factor inhibitor	AKR1B1|ANG|APRT|BHMT|C8G|CA4|CPB1|CS|CTDSP1|GNMT|HGS|HS3ST3A1|IL4I1|ITPA|LSM6|MDH2|MIF|PDE5A|PKD2L1|PLEKHA1|RNASE1|RNASE3|SRC|TNFSF13B|UCK2
CK-636	Preclinical	actin related protein inhibitor	ACTR2|ACTR3|ARPC1B|ARPC2|ARPC3|ARPC4|ARPC5
CKD-712	Phase 1	NFkB pathway inhibitor	JAK2|STAT1
CL-218872	Phase 1	benzodiazepine receptor agonist	GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2
CL-225385	Phase 2		
cladribine	Launched	adenosine deaminase inhibitor|ribonucleotide reductase inhibitor	ADA|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B
clarithromycin	Launched	bacterial 50S ribosomal subunit inhibitor	CYP3A4
clavulanate	Launched	beta lactamase inhibitor	
clebopride	Launched	dopamine receptor antagonist	ACHE|DRD2
clemastine	Launched	histamine receptor antagonist	HRH1
clemizole	Launched	HCV inhibitor	
clenbuterol	Launched	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3|NGF|TNF
cleviprex	Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1S
clevudine	Launched	DNA polymerase inhibitor	
clidinium	Launched	acetylcholine receptor antagonist	CHRM1|CHRM3
climbazole	Launched	enzyme inducer	
clinafloxacin	Phase 3	bacterial DNA gyrase inhibitor	
clindamycin	Launched	protein synthesis inhibitor	
clindamycin-palmitate	Launched	bacterial 50S ribosomal subunit inhibitor	
clindamycin-phosphate	Launched	protein synthesis inhibitor	
clinofibrate	Launched	lipase clearing factor inhibitor	LPL
clioquinol	Withdrawn	chelating agent	OPRK1
clobazam	Launched	GABA benzodiazepine site receptor agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ
clobenpropit	Preclinical	histamine receptor antagonist	HRH1|HRH2|HRH3|HRH4
clobetasol-propionate	Launched	glucocorticoid receptor agonist	NR3C1|PLA2G1B
clobetasone-butyrate	Launched	corticosteroid agonist	NR3C1
clobutinol	Withdrawn	antitussive	
clocortolone-pivalate	Launched	steroid	NR3C1|PLA2G1B
clodronic-acid	Launched	bone resorption inhibitor	SLC25A4|SLC25A5|SLC25A6
clofarabine	Launched	ribonucleotide reductase inhibitor	POLA1|POLD1|POLE|RRM1|RRM2|RRM2B
clofazimine	Launched	GK0582 inhibitor	
clofedanol	Launched	histamine receptor antagonist	HRH1
clofibrate	Launched	PPAR receptor agonist	LPL|PPARA
clofibric-acid	Launched	PPAR receptor agonist	PPARA
clofilium	Phase 2	potassium channel blocker	KCNA5|KCNH1
clofoctol	Launched	protein synthesis inhibitor	
clomesone	Phase 1	DNA inhibitor	
clomethiazole	Launched	GABA receptor antagonist|GABA receptor modulator	GABRA1
clomifene	Launched	estrogen receptor antagonist	ESR1
clomipramine	Launched	serotonin transporter (SERT) inhibitor	GSTP1|HTR2A|HTR2B|HTR2C|SLC6A2|SLC6A3|SLC6A4
clonazepam	Launched	GABA benzodiazepine site receptor agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|TSPO
clonidine	Launched	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C
clonixin-lysinate	Launched	cyclooxygenase inhibitor	
clopamide	Launched	sodium/chloride cotransporter inhibitor	
cloperastine	Launched	antitussive	
clopidogrel	Launched	purinergic receptor antagonist	P2RY12
clopidol	Launched		
