!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	3/24/2020				
!Table_name	drug information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
D-(+)-maltose	Preclinical		MGAM		
D-alpha-tocopheryl-succinate	Launched				
D-delta-tocopherol	Launched				
D-limonene	Phase 1				
D-phenylalanine	Preclinical	enkephalinase inhibitor	CCBL1|CRH|HCAR3		
D-serine	Launched	glutamate receptor agonist	GLRA1|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|SERPINB3		
D-157495	Preclinical	decapping scavenger enzyme inhibitor			
D-3263	Phase 1	transient receptor potential channel agonist			
D-4476	Preclinical	TGF beta receptor inhibitor	CSNK1A1|CSNK1D|TGFB1		
D-64131	Preclinical	microtubule inhibitor	TUBB		
D-7193	Phase 2				
DAA-1106	Preclinical	benzodiazepine receptor agonist	TSPO		
dabigatran	Launched	thrombin inhibitor	F2	neurology/psychiatry|hematology	stroke|systemic embolism|pulmonary embolism (PE)|deep vein thrombosis (DVT)
dabigatran-etexilate	Launched	thrombin inhibitor	F2	neurology/psychiatry|hematology	stroke|systemic embolism|pulmonary embolism (PE)|deep vein thrombosis (DVT)
dabrafenib	Launched	RAF inhibitor	BRAF|LIMK1|NEK11|RAF1|SIK1	oncology	melanoma
dacarbazine	Launched	DNA alkylating agent	PGD|POLA2	oncology|hematologic malignancy	melanoma|Hodgkin's lymphoma
dacinostat	Phase 1	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9		
daclatasvir	Launched	HCV inhibitor		infectious disease	hepatitis C
dacomitinib	Launched	EGFR inhibitor	EGFR|ERBB2|ERBB4		
dactinomycin	Launched	RNA polymerase inhibitor	POLR2A	oncology	testicular carcinoma|Wilm's tumor|rhabdomyosarcoma|Ewing's sarcoma|gestational trophoblastic disease (GTD)
daidzein	Phase 2	estrogen receptor agonist	ESRRA|ESRRB|ESRRG|TRPC5		
daidzin	Phase 1	antioxidant	ALDH2		
dalargin	Phase 2	opioid receptor agonist	OPRM1		
dalbavancin	Launched	bacterial cell wall synthesis inhibitor	PNLIP	infectious disease	skin infections
dalcetrapib	Phase 3	cholesteryl ester transfer protein inhibitor	CETP		
dalfampridine	Launched	potassium channel blocker	KCNA1|KCNA10|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCNC4|KCND1|KCND2|KCND3|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH1|KCNH2|KCNH3|KCNH4|KCNH5|KCNH6|KCNH7|KCNH8|KCNJ13|KCNJ5|KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2	neurology/psychiatry	multiple sclerosis
dalfopristin	Preclinical	antibacterial 			
daltroban	Phase 3	thromboxane receptor antagonist	TBXA2R		
daminozide	Preclinical	KDM2A inhibitor	KDM2A|KDM7A|PHF8		
danazol	Launched	estrogen receptor antagonist|progesterone receptor agonist	AR|CCL2|ESR1|GNRHR|GNRHR2|PGR	obstetrics/gynecology|cardiology	endometriosis|angioedema
danegaptide	Phase 2	gap junction modulator			
danirixin	Phase 2	CC chemokine receptor antagonist	CXCR2		
danofloxacin	Launched	bacterial DNA gyrase inhibitor		pulmonary	bovine respiratory disease (BRD)
danoprevir	Phase 3	HCV inhibitor			
dantrolene	Launched	calcium channel blocker	RYR1|RYR3	neurology/psychiatry|endocrinology	spasms|malignant hyperthermia (MH)
dantron	Withdrawn	laxative			
danusertib	Phase 2	Aurora kinase inhibitor|growth factor receptor inhibitor	AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|SLK		
dapagliflozin	Launched	sodium/glucose cotransporter inhibitor	SLC5A1|SLC5A2	endocrinology	diabetes mellitus
dapansutrile	Phase 2	anti-inflammatory agent			
daphnetin	Preclinical	protein kinase inhibitor			
dapiprazole	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D	ophthalmology	mydriasis
dapivirine	Phase 3	non-nucleoside reverse transcriptase inhibitor	CYP3A4|CYP3A5		
dapoxetine	Launched	selective serotonin reuptake inhibitor (SSRI)	HTR1A|HTR1B|HTR2C|SLC6A4	urology	premature ejaculation (PE)
daprodustat	Phase 3	hypoxia inducible factor inhibitor	EGLN1		
dapsone	Launched	bacterial antifolate	DHFR	dermatology|infectious disease	dermatitis herpetiformis (DH)|leprosy
DAPT	Preclinical	gamma secretase inhibitor			
daptomycin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	skin infections|endocarditis
darapladib	Phase 3	phospholipase inhibitor	PLA2G7		
darglitazone	Phase 2	PPAR receptor antagonist	PPARG		
darifenacin	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	urology	urinary incontinence
darolutamide	Launched	androgen receptor antagonist	AR	oncology	prostate cancer
darunavir	Launched	HIV protease inhibitor	CYP3A4	infectious disease	human immunodeficiency virus (HIV-1)
darusentan	Phase 3	endothelin receptor antagonist	EDNRA		
dasabuvir	Launched	HCV inhibitor		infectious disease	hepatitis C
dasatinib	Launched	Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor|tyrosine kinase inhibitor	ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1	hematologic malignancy	chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)
dasotraline	Phase 3	dopamine-norepinephrine-serotonin reuptake inhibitor			
DAU-5884	Preclinical	acetylcholine receptor antagonist	CHRM3		
daucosterol	Phase 2	apoptosis stimulant			
daunorubicin	Launched	RNA synthesis inhibitor|topoisomerase inhibitor	TOP2A|TOP2B	hematologic malignancy	acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)
dazmegrel	Phase 2	thromboxane synthase inhibitor	TBXAS1		
dazoxiben	Phase 2	thromboxane synthase inhibitor	TBXAS1		
DBeQ	Preclinical	ATPase inhibitor	CASP3		
DBPR-211	Preclinical	cannabinoid receptor antagonist			
DBPR108	Phase 1	dipeptidyl peptidase inhibitor	DPP4		
DC-260126	Preclinical	free fatty acid receptor antagonist	FFAR1		
DCC-2618	Phase 1	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor	KIT|PDGFRA		
DCEBIO	Preclinical	potassium channel activator	KCNN2|KCNN3|KCNN4		
DCP-LA	Preclinical	protein kinase activator			
DCPIB	Preclinical	chloride channel blocker|gap junction modulator|glutamate inhibitor	SLC1A2		
DDR1-IN-1	Preclinical	discoidin domain receptor inhibitor	DDR1|DDR2		
deazaguanine	Preclinical	DNA synthesis inhibitor			
Debio-0932	Phase 1	HSP inhibitor			
debrisoquin	Launched	adrenergic neuron blocker	SLC6A2	cardiology	hypertension
decamethonium	Launched	acetylcholine receptor agonist	ACHE|CHRNA2	neurology/psychiatry	muscle relaxant
decamethoxine	Phase 2	antiseptic			
decernotinib	Phase 2/Phase 3	JAK inhibitor	JAK3		
decitabine	Launched	DNA methyltransferase inhibitor	DNMT1|DNMT3A	hematologic malignancy|hematology	myelodysplastic diseases (MDS)|anemia|chronic myeloid leukemia (CML)
declopramide	Preclinical	cell cycle inhibitor			
decloxizine	Preclinical	histamine receptor antagonist			
decoquinate	Launched	antiprotozoal agent		infectious disease	coccidiosis
defactinib	Phase 2	focal adhesion kinase inhibitor	PTK2		
deferasirox	Launched	chelating agent	CYP3A4	hematology	transfusional hemosiderosis|thalassemia|iron overload
deferasirox-iron-chelate	Launched				
deferiprone	Launched	chelating agent	UGT1A6	hematology	transfusional hemosiderosis|thalassemia|iron overload
deferoxamine-mesylate	Launched	chelating agent		hematology	acute iron intoxication|iron overload
deflazacort	Launched	glucocorticoid receptor agonist	NR3C1	rheumatology	joint inflammation
deforolimus	Phase 3	mTOR inhibitor	MTOR		
degarelix	Launched	gonadotropin releasing factor hormone receptor antagonist	GNRHR	oncology	prostate cancer
dehydroacetic-acid	Preclinical				
dehydrocholate	Preclinical				
dehydrocholate-acid	Preclinical				
dehydrocorydaline	Phase 3	acetylcholinesterase inhibitor	ACHE		
dehydroepiandrosterone	Launched	protein synthesis stimulant	ESR1|ESR2|G6PD|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|HSD17B1|NR1I2|NR1I3|PPARA|SIGMAR1|SULT2A1|SULT2B1	endocrinology	menopause
dehydroepiandrosterone-sulfate	Launched	androgen receptor agonist|estrogen receptor agonist	AR|ESR1|ESR2	endocrinology	menopause
delafloxacin	Phase 3	antiinfective drug			
delamanid	Launched	bacterial cell wall synthesis inhibitor		infectious disease	tuberculosis
delanzomib	Phase 1/Phase 2	proteasome inhibitor	CMA1|CTSG|CYP3A4|ELANE		
delapril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension
delavirdine	Launched	non-nucleoside reverse transcriptase inhibitor	CYP3A4	infectious disease	human immunodeficiency virus (HIV-1)
delcasertib	Phase 1	PKC inhibitor			
delgocitinib	Phase 2	JAK inhibitor			
delivert	Launched	angiotensin receptor agonist	AGTR1|AGTR2	critical care	sepsis
delpazolid	Phase 2	antibacterial			
delphinidin	Phase 2	membrane permeability inhibitor	GLO1		
delta-tocotrienol	Phase 1	HMGCR inhibitor	HMGCR		
deltarasin	Preclinical	phosphodiesterase inhibitor	KRAS		
demecarium	Launched	acetylcholinesterase inhibitor	ACHE|BCHE	ophthalmology	intraocular pressure|glaucoma
demeclocycline	Launched	bacterial 30S ribosomal subunit inhibitor		endocrinology|infectious disease|ophthalmology|urology	fever|respiratory tract infections|psittacosis|trachoma|conjunctivitis|urethritis|chancroid|cholera|syphilis|listeria|anthrax|actinomycosis|tularemia|brucellosis
denatonium-benzoate	Preclinical				
denopamine	Launched	adrenergic receptor agonist		cardiology	angina pectoris
denotivir	Launched	antiviral		infectious disease	virus herpes simplex (HSV)|skin infections
deoxyarbutin	Preclinical	tyrosinase inhibitor			
deoxycholic-acid	Launched	biliverdin reductase A activator|G protein-coupled receptor agonist	FPR1|GPBAR1	endocrinology	submental fat
deoxycorticosterone-acetate	Preclinical	progestogen hormone	NR3C2		
deoxyepinephrine	Preclinical	adrenergic receptor agonist|dopamine receptor agonist	ADRA1A|DRD1|DRD2		
deptropine	Preclinical	histamine receptor antagonist	HRH1		
dequalinium	Launched	PKC inhibitor	KCNN1|KCNN3	infectious disease	first-aid antiseptic
deracoxib	Launched	cyclooxygenase inhibitor	PTGS2	rheumatology	osteoarthritis
derazantinib	Phase 2	tyrosine kinase inhibitor			
deserpidine	Launched	angiotensin converting enzyme inhibitor	ACE|SLC18A2	cardiology	hypertension
desidustat	Preclinical	hypoxia inducible factor prolyl hydroxylase inhibitor			
desipramine	Launched	tricyclic antidepressant	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR1A|HTR2A|HTR2C|SLC6A2|SLC6A4|SMPD1	neurology/psychiatry	depression
desisobutyryl-ciclesonide	Launched	cytochrome P450 inhibitor		allergy	allergic rhinitis
deslanoside	Launched	Na/K-ATPase inhibitor	ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2	cardiology	congestive heart failure|cardiac arrythmia
desloratadine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis|urticaria
deslorelin	Phase 2	gonadotropin releasing factor hormone receptor agonist			
desmethylclozapine	Phase 2	acetylcholine receptor agonist	HTR2C		
desmopressin-acetate	Launched	vasopressin receptor agonist	AVPR1A|AVPR1B|AVPR2|OXTR	endocrinology|urology	central diabetes insipidus|nocturnal enuresis
desogestrel	Launched	progesterone receptor agonist	ESR1|PGR	endocrinology	contraceptive
desonide	Launched	glucocorticoid receptor agonist	NR3C1|PLA2G1B	gastroenterology	Crohn's disease
desoximetasone	Launched	glucocorticoid receptor agonist	NR3C1|PLA2G1B	dermatology	corticosteroid-responsive dermatoses
desoxycorticosterone-pivalate	Launched	corticosteroid agonist	NR3C2	endocrinology	Addison's disease
desoxycortone	Preclinical	mineralocorticoid receptor agonist	NR3C1|NR3C2		
desoxypeganine	Phase 1	acetylcholinesterase inhibitor|monoamine oxidase inhibitor	ACHE		
desvenlafaxine	Launched	serotonin–norepinephrine reuptake inhibitor (SNRI)	SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	depression
detomidine	Launched	adrenergic receptor agonist	ADRA2A	neurology/psychiatry	sedative
devazepide	Preclinical	CCK receptor antagonist			
dexamethasone	Launched	glucocorticoid receptor agonist	ANXA1|NOS2|NR0B1|NR3C1|NR3C2	endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology	hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
dexamethasone-acetate	Launched	glucocorticoid receptor agonist		endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology	hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
dexchlorpheniramine	Launched	histamine receptor antagonist		allergy|cardiology	allergic conjunctivitis|allergic rhinitis|urticaria|angioedema
dexfosfoserine	Preclinical	membrane integrity inhibitor	CFTR|GRM4|GRM6|GRM7|GRM8|KCNC4|PDPK1|PIM1|PRKACA|PRKCQ|PYGL|PYGM|REG1A|RHO|SERPINB3|SMAD2|TAOK2		
dexlansoprazole	Launched	ATPase inhibitor	ATP4A	gastroenterology	gastroesophageal reflux disease (GERD)|erosive esophagitis (EE)
dexloxiglumide	Phase 3	CCK receptor antagonist	CCKAR		
dexmedetomidine	Launched	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C	neurology/psychiatry	sedative
dexniguldipine	Phase 2	calmodulin antagonist	ADORA3		
dexpanthenol	Launched			gastroenterology	paralytic ileus
dexrazoxane	Launched	chelating agent|topoisomerase inhibitor	TOP2A|TOP2B	cardiology	cardiomyopathy
dextran	Launched			hematology|critical care	thrombosis|hypovolemia
dextromethorphan	Launched	glutamate receptor antagonist|sigma receptor agonist	CHRNA2|CHRNA3|CHRNA4|CHRNA7|CHRNB2|CHRNB4|CYBA|CYBB|GRIN3A|NCF1|NCF2|NCF4|OPRD1|OPRK1|OPRM1|PGRMC1|RAC1|RAC2|SIGMAR1|SLC6A2|SLC6A4	pulmonary	cough suppressant
dextrorotation-nimorazole-phosphate-ester	Preclinical	antiinfective drug			
dextrose	Launched			endocrinology	hypoglycemia
DFB	Preclinical	glutamate receptor agonist	GRM5		
DG-172	Preclinical	PPAR receptor inverse agonist	PPARD		
DG051	Preclinical	leukotriene synthesis inhibitor			
DH-97	Preclinical	melatonin receptor antagonist	MTNR1B		
DHBP	Preclinical	ryanodine receptor blocker			
diacerein	Launched	interleukin inhibitor	IL1B	rheumatology	osteoarthritis
diacetamate	Preclinical				
diadenosine-tetraphosphate	Phase 1	adenosine kinase inhibitor	P2RY13|P2RY2		
dianhydrogalactitol	Phase 3	DNA alkylating agent			
diarylpropionitrile	Preclinical	estrogen receptor agonist	ESR2		
diatrizoic-acid	Launched			radiology	contrast agent
diaveridine	Launched	dihydrofolate reductase inhibitor		infectious disease	coccidiosis
diazoxide	Launched	potassium channel activator	ATP1A1|CA1|CA2|KCNJ11|KCNJ8|KCNMA1|SLC12A3	endocrinology	hypoglycemia
dibekacin	Launched	bacterial 30S ribosomal subunit inhibitor		infectious disease	gram-negative bacterial infections
dibenzepine	Preclinical	norepinephrine reputake inhibitor			
dibenzothiophene	Preclinical				
dibutyl-phthalate	Preclinical		TRPA1		
dichlorisone-acetate	Phase 2				
dichloroacetate	Phase 3	pyruvate dehydrogenase kinase inhibitor			
dichlorophen	Launched	anticestodal agent		infectious disease	hookworm|tapeworm
dichlorvos	Launched	acetylcholinesterase inhibitor			
diclazuril	Launched	antiprotozoal agent		infectious disease	equine protozoal myeloencephalitis (EPM)
diclofenac	Launched	cyclooxygenase inhibitor	AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A	rheumatology|neurology/psychiatry	rheumatoid arthritis|osteoarthritis|migraine headache
diclofenamide	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA2|CA4|CA7	ophthalmology|neurology/psychiatry	glaucoma|epilepsy
diclofensine	Phase 3	dopamine reuptake inhibitor	DRD1|MAOA|MAOB		
dicloralurea	Preclinical				
dicloxacillin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
dicoumarol	Launched	NADPH inhibitor	CRYZ|NQO1|VKORC1	hematology	deep vein thrombosis (DVT)
dicyclohexylamine	Preclinical				
dicycloverine	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3	gastroenterology	irritable bowel syndrome
didanosine	Launched	nucleoside reverse transcriptase inhibitor	PNP	infectious disease	human immunodeficiency virus (HIV-1)
dideoxyadenosine	Phase 1	nucleoside reverse transcriptase inhibitor			
didox	Launched	ribonucleotide reductase inhibitor	RRM1	oncology	breast cancer
dienestrol	Launched	estrogen receptor agonist	ESR1	endocrinology	menopause
dienogest	Launched	progesterone receptor agonist	PGR	endocrinology|obstetrics/gynecology	contraceptive|endometriosis
diethylcarbamazine	Launched	lipoxygenase inhibitor	ALOX5|PTGS1	infectious disease	filariasis
diethylstilbestrol	Withdrawn	estrogen receptor agonist	ESR1|ESR2|ESRRB|ESRRG		
diethyltoluamide	Launched	ionotropic receptor IR40a activator		dermatology	sunscreen lotion
difenpiramide	Launched	cyclooxygenase inhibitor|prostaglandin inhibitor		neurology/psychiatry	pain relief
diflorasone-diacetate	Launched	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses
difloxacin	Launched	bacterial DNA gyrase inhibitor		infectious disease	skin infections|urinary tract infections
diflunisal	Launched	prostanoid receptor antagonist	PTGS1|PTGS2	rheumatology	rheumatoid arthritis|osteoarthritis
difluprednate	Launched	glucocorticoid receptor agonist	NR3C1	ophthalmology	endogenous uveitis
diftalone	Launched	cyclooxygenase inhibitor		endocrinology	thyroiditis
digitoxigenin	Preclinical	ATPase inhibitor	ATP1A1		
digitoxin	Launched	ATPase inhibitor	ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2	cardiology	congestive heart failure|cardiac arrythmia
digoxigenin	Preclinical	steroid			
digoxin	Launched	ATPase inhibitor	ATP1A1	cardiology	congestive heart failure|atrial fibrillation (AF)
dihomo-gamma-linolenic-acid	Phase 2	prostanoid receptor agonist	PTGS1|PTGS2		
dihydrexidine	Phase 2	dopamine receptor agonist	DRD1|DRD2|DRD3|DRD4|DRD5		
dihydroartemisinin	Launched	antimalarial agent		infectious disease	malaria
dihydroergocristine	Launched	adrenergic receptor antagonist|prolactin inhibitor	ADRA1A|ADRB1|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A|HTR3A|HTR4|HTR5A|HTR6|HTR7	neurology/psychiatry	senile dementia|cerebrovascular insufficiency
dihydroergotamine	Launched	serotonin receptor agonist	ADRA2A|DRD2|HTR1B|HTR1D|HTR1E|HTR1F|HTR2B|HTR7	neurology/psychiatry	migraine headache
dihydromyricetin	Preclinical				
dihydrostreptomycin	Withdrawn	bacterial 30S ribosomal subunit inhibitor			
dihydrotachysterol	Launched	vitamin analog	VDR	orthopedics|endocrinology	rickets|hypocalcemia|osteomalacia
dihydroxyacetone	Launched			dermatology	skin protectant
dihydroxyphenylglycine	Preclinical	glutamate receptor agonist	GRM1|GRM5		
diiodothyropropionic-acid	Phase 2	thyroid hormone stimulant			
dilazep	Launched	adenosine reuptake inhibitor	SLC29A1	cardiology	coronary heart disease
dilmapimod	Phase 1	p38 MAPK inhibitor			
diloxanide	Launched	protein synthesis inhibitor		infectious disease	amebiasis
diltiazem	Launched	calcium channel blocker	CACNA1C|CACNA1S|CACNA2D1|CACNG1|HTR3A|KCNA5	cardiology	hypertension|angina pectoris
DIM-C-pPhCO2Me	Preclinical	nuclear receptor antagonist			
dimaprit	Preclinical	histamine receptor agonist	HRH2|HRH3|HRH4		
dimemorfan	Launched	sigma receptor agonist	SIGMAR1	pulmonary	cough suppressant
dimenhydrinate	Launched	histamine receptor antagonist	HRH1	neurology/psychiatry|gastroenterology	motion sickness|nausea|vomiting
dimercaprol	Launched	chelating agent		neurology/psychiatry	metal toxicity
dimercaptosuccinic-acid	Launched	chelating agent	DNMT1	neurology/psychiatry	metal toxicity
dimesna	Phase 3	tubulin polymerization inhibitor			
dimethadione	Preclinical	oxazolidine antiepileptic			
dimethicone	Launched			dermatology	cosmetic
dimethindene-(S)-(+)	Preclinical	acetylcholine receptor antagonist	HRH1		
dimethisoquin	Launched	local anesthetic		neurology/psychiatry	local anesthetic
dimethyl-fumarate	Launched	nuclear factor erythroid derived|like (NRF2) activator	KEAP1	neurology/psychiatry	multiple sclerosis
dimethyl-isosorbide	Preclinical	cosmetic moisturizer			
dimetindene	Launched	cholinergic receptor antagonist|histamine receptor antagonist	HRH1	allergy	allergic rhinitis
dimetridazole	Launched	bacterial DNA inhibitor		infectious disease	protozoan infection
diminazene-aceturate	Phase 3	angiotensin converting enzyme activator	AOC1|PRDX5|PRSS1		
dimpylate	Launched	acetylcholinesterase inhibitor	ACHE	infectious disease	flea control
dinaciclib	Phase 3	CDK inhibitor	CDK1|CDK2|CDK5|CDK9		
dinitolmide	Launched			infectious disease	coccidiosis
dinoprost	Launched	prostacyclin analog	PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|TBXA2R	obstetrics/gynecology	labor induction
dinoprostone	Withdrawn	prostanoid receptor agonist	CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|TBXA2R		
dioscin	Preclinical	apoptosis stimulant	CXCR3		
diosgenin	Preclinical	steroid			
diosmetin	Launched	aryl hydrocarbon receptor agonist	CYP1B1	dermatology	cosmetic
diosmin	Launched	aryl hydrocarbon receptor agonist|capillary stabilizing agent	AHR	cardiology|hematology|dermatology	chronic venous insufficiency (CVI)|edema|deep vein thrombosis (DVT)|statis dermatitis|heavy leg syndrome
dioxybenzone	Preclinical	topical sunscreen agent			
dipeptamin	Launched				
diperodon	Preclinical	local anesthetic			
diphemanil	Launched	acetylcholine receptor antagonist	CHRM3	neurology/psychiatry	spasms
diphencyprone	Phase 2	immunostimulant			
diphenhydramine	Launched	histamine receptor antagonist	HRH1	neurology/psychiatry	headache
diphenidol	Launched	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4	neurology/psychiatry	vertigo
diphenyleneiodonium	Preclinical	nitric oxide synthase inhibitor	NOS2|NOS3		
diphenylguanidine	Preclinical				
diphenylpyraline	Launched	dopamine reuptake inhibitor	HRH1|SLC6A3	allergy	allergic rhinitis
dipivefrine	Launched	adrenergic receptor agonist		ophthalmology	glaucoma|intraocular pressure
dipraglurant	Phase 2	glutamate receptor negative allosteric modulator	GRM5		
DIPT	Launched	dopamine reuptake inhibitor|serotonin reuptake inhibitor	HTR1A|HTR2A|HTR2C		
dipyridamole	Launched	phosphodiesterase inhibitor	ADA|PDE10A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE6D|PDE6G|PDE6H|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|SLC29A1	cardiology	coronary artery disease (CAD)|peripheral artery disease (PAD)|hypertension
dipyrocetyl	Launched	chelating agent		endocrinology|neurology/psychiatry	fever|pain relief
diquafosol	Phase 3	purinergic receptor activator			
dirithromycin	Launched	bacterial 50S ribosomal subunit inhibitor		pulmonary	bronchitis
diroximel-fumarate	Phase 3	anti-inflammatory agent			
disodium-sebacate	Phase 1		HBB		
disopyramide	Launched	sodium channel blocker	CHRM1|CHRM2|CHRM3|KCND2|KCND3|KCNH2|SCN5A	cardiology	ventricular tachycardia (VT)|ventricular arrhythmias
disulfiram	Launched	aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist	ALDH2|DBH	neurology/psychiatry	abstinence from alcohol
dithranol	Launched	DNA synthesis inhibitor		dermatology	psoriasis
ditiocarb-sodium-trihydrate	Phase 3	immunostimulant	CA1|CA2|CA4		
ditolylguanidine	Preclinical	sigma receptor agonist	GRIN1|GRIN2A|GRIN2B|SIGMAR1		
dixanthogen	Preclinical				
dixyrazine	Preclinical	antipsychotic			
dizocilpine-(+)	Preclinical	glutamate receptor antagonist	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D		
dizocilpine-(-)	Phase 1	glutamate receptor antagonist			
DMAB-anabaseine	Preclinical	adrenergic receptor agonist	CHRNA7		
DMeOB	Preclinical	glutamate receptor modulator	GRM5		
DMH1	Preclinical	ALK tyrosine kinase receptor inhibitor	ACVR1		
DMH4	Preclinical	VEGFR inhibitor	KDR		
DMNB	Preclinical	DNA dependent protein kinase inhibitor			
DMP-543	Phase 2	acetylcholine release enhancer			
DMP-777	Phase 2	elastase inhibitor	MPO		
DMPS	Phase 1	chelating agent			
DMSO	Preclinical	control vehicle			
DNQX	Preclinical	glutamate receptor antagonist	GRIA1|GRIA2|GRIK1|GRIN1|GRIN2A|GRIN2B		
dobutamine	Launched	adrenergic receptor agonist	ADRB1|ADRB2	cardiology	congestive heart failure
docebenone	Phase 2	lipoxygenase inhibitor	ALOX5		
docetaxel	Launched	tubulin polymerization inhibitor	BCL2|MAP2|MAP4|MAPT|NR1I2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	oncology	breast cancer|non-small cell lung cancer (NSCLC)|prostate cancer|gastric adenocarcinoma|head and neck squamous cell carcinoma (HNSCC)
doconexent	Launched	PPAR receptor agonist	FFAR1|PTGS1|PTGS2		
doconexent-ethyl-ester	Launched	omega 3 fatty acid stimulant		endocrinology	hypertriglyceridemia
docosanol	Launched	lipase clearing factor inhibitor	TLR7	dental	cold sore
docusate	Launched	laxative		gastroenterology	constipation
dodecyl-sulfate	Preclinical		LYZ		
dofequidar	Phase 3	MRP inhibitor|P glycoprotein inhibitor	ABCB1		
dofetilide	Withdrawn	potassium channel blocker	KCNH1|KCNH2|KCNJ12|KCNK2		
